target,target_label,model,model_label,n,n_predictors,r2_out_of_state,r2_ablated,ablated_columns,withheld_pillars,reference_model,rmse,lift_over_size,lift_over_size_ablated,lift_over_grand_mean,contribution,contribution_ablated
broadband_rate,household broadband adoption rate,grand_mean,intercept only (= fixed effect on an unseen unit),3144,1,-0.0031516018957986613,-0.0031516018957986613,,,,0.06584949443116381,-0.4237351199404821,-0.4237351199404821,0.0,,
broadband_rate,household broadband adoption rate,size,county size only,3144,3,0.4205835180446834,0.4205835180446834,,,,0.05004544806349095,0.0,0.0,0.4237351199404821,,
broadband_rate,household broadband adoption rate,emacro,E_macro pillars only,3144,118,0.5079768656178003,0.5079768656178003,,,,0.04611709272950531,0.0873933475731169,0.0873933475731169,0.511128467513599,,
broadband_rate,household broadband adoption rate,size_emacro,size + E_macro pillars,3144,121,0.5112664626687244,0.5112664626687244,,,,0.04596266800314938,0.09068294462404103,0.09068294462404103,0.5144180645645231,,
broadband_rate,household broadband adoption rate,size_emacro_drop_A,"size + E_macro pillars, Source A withheld",3144,92,0.5138294147020475,0.5138294147020475,,A,size_emacro,0.045841993905058505,0.09324589665736405,0.09324589665736405,0.5169810165978461,-0.0025629520333230182,-0.0025629520333230182
broadband_rate,household broadband adoption rate,size_emacro_drop_B,"size + E_macro pillars, Source B withheld",3144,81,0.507816344830661,0.507816344830661,,B,size_emacro,0.04612461488428462,0.08723282678597755,0.08723282678597755,0.5109679467264596,0.0034501178380634823,0.0034501178380634823
broadband_rate,household broadband adoption rate,size_emacro_drop_C,"size + E_macro pillars, Source C withheld",3144,117,0.5073816162451827,0.5073816162451827,,C,size_emacro,0.04614498051669602,0.08679809820049933,0.08679809820049933,0.5105332181409814,0.003884846423541699,0.003884846423541699
broadband_rate,household broadband adoption rate,size_emacro_drop_D,"size + E_macro pillars, Source D withheld",3144,106,0.4971939327120437,0.4971939327120437,,D,size_emacro,0.046619693534925274,0.0766104146673603,0.0766104146673603,0.5003455346078424,0.014072529956680735,0.014072529956680735
broadband_rate,household broadband adoption rate,size_emacro_drop_E,"size + E_macro pillars, Source E withheld",3144,111,0.47090221166334933,0.47090221166334933,,E,size_emacro,0.04782303480026843,0.05031869361866592,0.05031869361866592,0.474053813559148,0.04036425100537511,0.04036425100537511
broadband_rate,household broadband adoption rate,size_emacro_drop_F,"size + E_macro pillars, Source F withheld",3144,101,0.4744743908227118,0.4744743908227118,,F,size_emacro,0.04766132389223833,0.0538908727780284,0.0538908727780284,0.4776259927185105,0.03679207184601263,0.03679207184601263
