feature,pillar,r_with_log_size,abs_r,r_squared,n,size_proxy,r_with_log_returns
log_inbound_tons,D,0.9041231526585394,0.9041231526585394,0.8174386751732164,3143,True,0.9070344440096574
log_total_tons,D,0.8650039379467265,0.8650039379467265,0.7482318126633443,3143,True,0.8705525558831724
log_outbound_tons,D,0.8018009654467834,0.8018009654467834,0.6428847881913939,3143,True,0.8091005728473537
disclosure_61,B,-0.6140347315810024,0.6140347315810024,0.3770386515877537,2669,True,-0.6204891828220678
metro_2023,F,0.5924063300106496,0.5924063300106496,0.3509452598366867,3143,True,0.5960414324895437
disclosure_55,B,-0.5916180864701063,0.5916180864701063,0.35001196023855013,2502,True,-0.5989706414115675
wage_per_return_thousands,E,0.567759105482914,0.567759105482914,0.32235040185875863,3143,True,0.5823410600979464
low_return_flag,E,-0.5604227707209399,0.5604227707209399,0.3140736819425352,3143,True,-0.5510206111644566
n_body_sections,A,0.5465081747700682,0.5465081747700682,0.2986711850905114,3143,True,0.5502316787531486
has_metro_attachment,A,0.5413038291376531,0.5413038291376531,0.2930098354390855,3143,True,0.5414337212999415
disclosure_71,B,-0.538021373480638,0.538021373480638,0.28946699832199224,2948,True,-0.5451788953070892
disclosure_72,B,-0.5135424397876809,0.5135424397876809,0.26372583746308387,3126,True,-0.5193444054190132
share_out_sctg3499,D,0.5135192587318336,0.5135192587318336,0.26370202908849183,3143,True,0.5133997611125618
lq_emp_11,B,-0.5061687886090952,0.5061687886090952,0.2562068425619989,1457,True,-0.5007454666944108
high_farming,F,-0.4966101584824792,0.4966101584824792,0.2466216495079931,3134,True,-0.4903343706429407
disclosure_52,B,-0.4778265367685355,0.4778265367685355,0.2283181992402126,3125,True,-0.47697486003319006
share_in_sctg0109,D,-0.472687758699673,0.472687758699673,0.2234337172245203,3143,True,-0.4577173031855713
disclosure_56,B,-0.4701742077751959,0.4701742077751959,0.2210637856570331,3112,True,-0.4722138107854411
disclosure_53,B,-0.4666157760274483,0.4666157760274483,0.2177302824376978,3019,True,-0.4659527934220467
disclosure_62,B,-0.46512639809305373,0.46512639809305373,0.2163425662030179,3128,True,-0.47085946170680676
industry_dependence_farming,F,-0.455779993080257,0.455779993080257,0.20773540209223915,3134,True,-0.4479815200968822
lq_emp_54,B,0.4534599011103029,0.4534599011103029,0.20562588191496567,2268,True,0.4609001055435099
share_out_sctg0109,D,-0.42611176357314834,0.42611176357314834,0.18157123505541867,3143,True,-0.4129416140958412
disclosure_22,B,-0.4257255650176246,0.4257255650176246,0.1812422567095757,2852,True,-0.42164571824823144
