target_pillar,column,label,block,n,n_added_columns,r2_reduced,r2_full,lift,lift_ablated,null_lift_mean,null_lift_p95,p,q,significant,carries_signal
B,lq_emp_31-33,Manufacturing LQ,D,2570,15,0.6778496556641236,0.6771319837201961,-0.000717671943927467,0.06370344376469117,-0.0012528552852940588,-3.403434798103792e-05,0.3,0.36554621848739494,False,False
B,lq_emp_54,"Professional, Scientific & Technical Services LQ",E,2268,10,0.34527565455892095,0.40027767915885437,0.05500202459993342,0.05837966959108787,-0.014015287616588932,-0.011238761668096278,0.02,0.03580246913580247,True,True
B,lq_emp_51,Information LQ,E,1914,10,0.10750091703442832,0.15817966757214452,0.0506787505377162,0.058164897143379246,-0.001296728143279429,0.001987279710150066,0.02,0.03580246913580247,True,True
B,lq_emp_51,Information LQ,C,1914,4,0.12808046337458445,0.15817966757214452,0.03009920419756007,0.04649397869820071,-0.0012081755974114804,0.0010100638373980997,0.02,0.03580246913580247,True,True
F,distress_count,demographic distress count,C,3144,4,0.28537349298473913,0.3282890989366768,0.04291560595193766,0.045066058379666374,0.002654492507297244,0.0056341772793357635,0.02,0.03580246913580247,True,True
B,lq_emp_48-49,Transportation & Warehousing LQ,D,2160,15,0.08674113512330361,0.12338933668018082,0.0366482015568772,0.0419858890680439,-0.007774853568085473,-0.0037274900965004417,0.02,0.03580246913580247,True,True
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",D,1457,15,0.4412846471575508,0.46093627169363316,0.01965162453608238,0.03670690589754766,-0.003970193118757194,0.00015856817595283275,0.02,0.03580246913580247,True,True
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",D,1026,15,0.6322981881907395,0.6441439056150067,0.01184571742426721,0.03570996348594102,-0.0013814418388455986,0.0013935678768530297,0.02,0.03580246913580247,True,True
C,unemployment_rate_latest,unemployment rate (level),F,3143,20,0.5209143284622658,0.5599157275513594,0.039001399089093614,0.03536821397778522,-0.003459717820680473,-0.0002412295207095075,0.02,0.03580246913580247,True,True
B,lq_emp_55,Management of Companies & Enterprises LQ,E,1296,10,0.17311493566254788,0.21147201149441475,0.03835707583186687,0.03414817767742939,-0.0013946722884953698,0.002355343350997274,0.02,0.03580246913580247,True,True
B,lq_emp_42,Wholesale Trade LQ,D,2346,15,0.33457248458532896,0.3504745287198697,0.01590204413454077,0.030486335420991884,-0.0069036873345730545,-0.003696278042132067,0.02,0.03580246913580247,True,True
C,unemployment_rate_latest,unemployment rate (level),E,3143,10,0.5374566364853859,0.5599157275513595,0.022459091065973658,0.026593742464725123,-0.020781117095570113,-0.019096431520031754,0.02,0.03580246913580247,True,True
E,capital_to_wage_ratio,capital-to-wage ratio,B,3143,40,0.4316620416759771,0.44179585178504266,0.010133810109065555,0.02512134945832034,-0.013802569402601656,-0.0043333863447845376,0.02,0.03580246913580247,True,True
B,lq_emp_52,Finance & Insurance LQ,E,2638,10,0.1902673100149015,0.21925209786310607,0.028984787848204574,0.025068200866900092,0.006920879476569617,0.009388811396203444,0.02,0.03580246913580247,True,True
E,capital_to_wage_ratio,capital-to-wage ratio,F,3143,20,0.4156824967623173,0.44179585178503555,0.026113355022718276,0.02452941232158734,-0.0024356583173139987,0.0017859922823276735,0.02,0.03580246913580247,True,True
C,gdp_velocity_pct,GDP velocity (normalized),D,3080,15,0.11377507030904799,0.14995506644363332,0.036179996134585335,0.022630698935658167,0.004521146254433253,0.008371787937413172,0.02,0.03580246913580247,True,True
B,lq_emp_71,"Arts, Entertainment & Recreation LQ",E,2243,10,0.22472463115498342,0.2667226057237161,0.041997974568732666,0.021210416165911905,0.023040661563102395,0.0246950428572279,0.02,0.03580246913580247,True,True
B,lq_emp_72,Accommodation & Food Services LQ,E,2369,10,0.4215821641426132,0.4228898384757751,0.0013076743331619234,0.02003453199281313,-0.0024361420076174684,-0.0008061130410939259,0.04,0.06236559139784946,False,False
B,lq_emp_44-45,Retail Trade LQ,E,3050,10,0.1969486208903184,0.20699342934243714,0.010044808452118748,0.018735594537132916,-0.0014683394547270099,0.0019004262212389555,0.02,0.03580246913580247,True,True
B,lq_emp_53,Real Estate & Rental & Leasing LQ,F,2453,20,0.29640828668980324,0.3607434139871878,0.06433512729738455,0.01869368988619391,-0.0026136138715249155,0.0010336826530604065,0.02,0.03580246913580247,True,True
B,lq_emp_42,Wholesale Trade LQ,E,2346,10,0.35383131686737135,0.35047452871995544,-0.0033567881474159122,0.018582003543989978,-0.003824895536451,-0.0007552260002016158,0.4,0.4793388429752066,False,False
B,lq_emp_53,Real Estate & Rental & Leasing LQ,E,2453,10,0.33642692541641606,0.3607434139871878,0.024316488570771733,0.01797542113478956,-0.013403299137409314,-0.011725803211283406,0.02,0.03580246913580247,True,True
B,lq_emp_62,Health Care & Social Assistance LQ,F,1942,20,0.20694394237167557,0.2912921736015055,0.08434823122982993,0.017593141163350312,-0.006711547519050053,-0.0010825516267652722,0.02,0.03580246913580247,True,True
B,lq_emp_55,Management of Companies & Enterprises LQ,F,1296,20,0.18599784265823616,0.21147201149441486,0.0254741688361787,0.017228621553860957,0.010146076481855615,0.016847914950500018,0.02,0.03580246913580247,True,True
D,in_partner_hhi,inbound partner concentration,C,3144,4,0.37349441885503154,0.3909335637635193,0.017439144908487747,0.017034104998142285,-0.0160895823900628,-0.013692306243170438,0.02,0.03580246913580247,True,True
B,lq_emp_44-45,Retail Trade LQ,F,3050,20,0.15786899534957877,0.20699342934243892,0.04912443399286015,0.01692338851908204,-0.007325791199331889,-0.003350677167591033,0.02,0.03580246913580247,True,True
B,lq_emp_61,Educational Services LQ,F,1587,20,0.13359455366798556,0.15294096768415066,0.019346414016165103,0.01660175139109199,-0.0038346367879619338,0.0015181527912871298,0.02,0.03580246913580247,True,True
B,lq_emp_72,Accommodation & Food Services LQ,D,2369,15,0.41470424803512573,0.4228898384757749,0.008185590440649149,0.016520943076733685,-0.002579547451838633,0.00037849556285403076,0.02,0.03580246913580247,True,True
B,lq_emp_52,Finance & Insurance LQ,C,2638,4,0.2109543784369019,0.21925209786310607,0.008297719426204164,0.015794586088758833,-0.0010221129130211293,0.0006165447225204821,0.02,0.03580246913580247,True,True
B,lq_emp_48-49,Transportation & Warehousing LQ,E,2160,10,0.10875731655427057,0.1233893366801807,0.014632020125910139,0.014919541988820173,-0.0018172140984100626,0.0015868303173294902,0.02,0.03580246913580247,True,True
B,lq_emp_72,Accommodation & Food Services LQ,F,2369,20,0.22552010274959777,0.4228898384757751,0.19736973572617733,0.013664895670498667,-0.008001800494881476,-0.0016484932070922082,0.02,0.03580246913580247,True,True
A,content_length,intro-text length,B,3144,40,0.2784752701649519,0.29200288501355576,0.013527614848603875,0.012653011886874843,-0.010666718307060306,-0.00564923920598648,0.02,0.03580246913580247,True,True
D,out_partner_hhi,outbound partner concentration,C,3144,4,0.39805038092326106,0.41077586970780633,0.012725488784545269,0.011875639129255933,-0.01132292644388832,-0.009620596617558012,0.02,0.03580246913580247,True,True
B,lq_emp_22,Utilities LQ,D,1415,15,0.06139952321509812,0.07172316760645525,0.010323644391357134,0.011648468613097651,-0.0024364019672910723,0.0012193026163514315,0.02,0.03580246913580247,True,True
C,gdp_velocity_pct,GDP velocity (normalized),E,3080,10,0.1357580006379323,0.1499550664434397,0.014197065805507392,0.011495670030692073,-0.0006390126475366955,0.003693601064395335,0.02,0.03580246913580247,True,True
B,lq_emp_81,Other Services (except Public Administration) LQ,F,2579,20,0.1882773235909434,0.21086542195521385,0.022588098364270448,0.010995754745759978,0.002278319638355958,0.005907994236104351,0.02,0.03580246913580247,True,True
B,lq_emp_81,Other Services (except Public Administration) LQ,E,2579,10,0.18122175202828827,0.21086542195521407,0.029643669926925797,0.010984711884497678,0.008128841314171272,0.01041141890844057,0.02,0.03580246913580247,True,True
B,lq_emp_44-45,Retail Trade LQ,D,3050,15,0.1984342258344829,0.20699342934243659,0.008559203507953694,0.010937978913291846,0.001312477721789141,0.0044897471064687,0.02,0.03580246913580247,True,True
D,out_partner_hhi,outbound partner concentration,F,3144,20,0.412184562623632,0.4107758697078062,-0.0014086929158257933,0.010868274845108439,-0.008994171433443452,-0.005817788576933472,0.02,0.03580246913580247,True,False
D,out_partner_hhi,outbound partner concentration,A,3144,29,0.39942366287074427,0.41077586970780633,0.011352206837062062,0.010314984105356029,-0.0015624370870627158,0.0024812829898701134,0.02,0.03580246913580247,True,True
