pillar,column,label,n,r2_baseline,r2_full,lift,lift_ablated,lift_gbm,null_lift_mean,null_lift_p95,p,q,significant,carries_signal
F,distress_count,demographic distress count,3144,0.20244259046412083,0.3265856638635646,0.12414307339944375,0.11970785541117668,0.13828176149978044,-0.04569597297777178,-0.03366410245491487,0.01,0.010357142857142856,True,True
B,lq_emp_31-33,Manufacturing LQ,2570,0.21475393693228528,0.6794317392095005,0.4646778022772152,0.10721066634327614,0.4797011351012924,-0.03206327089754211,-0.02149937563205063,0.01,0.010357142857142856,True,True
B,lq_emp_72,Accommodation & Food Services LQ,2369,0.13092837955726067,0.42493915831524165,0.294010778757981,0.10646125144283758,0.3385200349329961,-0.07191328476472125,-0.05913502250493235,0.01,0.010357142857142856,True,True
B,lq_emp_51,Information LQ,1914,0.030849575874962287,0.14338972125349536,0.11254014537853307,0.09412647280922859,0.0569687721527925,-0.06594281766990717,-0.04126558850764444,0.01,0.010357142857142856,True,True
B,lq_emp_42,Wholesale Trade LQ,2346,0.21828261598695708,0.3458563287854518,0.12757371279849472,0.0805940769523541,0.13515509879244514,-0.04189353996302963,-0.02999981464500431,0.01,0.010357142857142856,True,True
B,lq_emp_54,"Professional, Scientific & Technical Services LQ",2268,0.3242416745702529,0.4017461551078678,0.07750448053761494,0.07115368962667445,0.06945110057328896,-0.06126181313027916,-0.050456946703860896,0.01,0.010357142857142856,True,True
E,capital_to_wage_ratio,capital-to-wage ratio,3143,0.3689969750246497,0.4404598327603876,0.0714628577357379,0.06891808775763919,0.037762150318090826,-0.038279761832550094,-0.023949978584554835,0.01,0.010357142857142856,True,True
B,lq_emp_44-45,Retail Trade LQ,3050,0.11013710797288256,0.2056963540417005,0.09555924606881794,0.06377739626846224,0.10201097002033477,-0.03334482871073812,-0.021159826270251546,0.01,0.010357142857142856,True,True
B,lq_emp_48-49,Transportation & Warehousing LQ,2160,0.043536438067533045,0.12098697537115155,0.0774505373036185,0.06346402270892171,0.1334681499942333,-0.042675940634738674,-0.02867215026581252,0.01,0.010357142857142856,True,True
B,lq_emp_52,Finance & Insurance LQ,2638,0.125687867380182,0.2234065444324661,0.0977186770522841,0.060468111992770024,0.04015069377190639,-0.0278207020680104,-0.021002097020751898,0.01,0.010357142857142856,True,True
B,lq_emp_53,Real Estate & Rental & Leasing LQ,2453,0.2628328360546931,0.3606434854614272,0.09781064940673412,0.05226562703427029,0.0974562189080358,-0.07913265211619709,-0.07135284345113403,0.01,0.010357142857142856,True,True
C,unemployment_rate_latest,unemployment rate (level),3143,0.5026971673285308,0.5597649724905515,0.0570678051620207,0.05181788619051142,0.11395006214852643,-0.0799575164302707,-0.07334813060464343,0.01,0.010357142857142856,True,True
A,content_length,intro-text length,3144,0.2390698521610135,0.2868629599339928,0.04779310777297929,0.04980207348332277,0.04405530386259893,-0.019275102563021514,-0.01297264296221811,0.01,0.010357142857142856,True,True
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",1457,0.33610709033333164,0.46016615417833795,0.12405906384500631,0.04296105023020025,0.19916391471087203,-0.04219708873762812,-0.025846375113290222,0.01,0.010357142857142856,True,True
B,lq_emp_62,Health Care & Social Assistance LQ,1942,0.1966473603868042,0.29380005687312594,0.09715269648632174,0.034777192968336146,0.15883143678174472,-0.06553337691954582,-0.05041262543198352,0.01,0.010357142857142856,True,True
D,out_partner_hhi,outbound partner concentration,3144,0.3831554585482948,0.4107758697078062,0.027620411159511415,0.029805115356242085,0.10724709437624425,-0.031172992863950644,-0.020467856373589128,0.01,0.010357142857142856,True,True
B,lq_emp_61,Educational Services LQ,1587,0.1260759319694006,0.15232380487913466,0.02624787290973407,0.02456572925328726,0.07035742711278592,-0.015215154212521365,-0.005772313477964389,0.01,0.010357142857142856,True,True
B,lq_emp_55,Management of Companies & Enterprises LQ,1296,0.1852246094460267,0.21351895792837905,0.02829434848235235,0.02160138561930114,0.03113797981274513,-0.05104257099861821,-0.03972685602688167,0.01,0.010357142857142856,True,True
D,in_partner_hhi,inbound partner concentration,3144,0.37151340241611364,0.3909335637635192,0.01942016134740554,0.021091887929707398,0.11581624030085802,-0.04473018525003786,-0.034320629650283485,0.01,0.010357142857142856,True,True
B,lq_emp_23,Construction LQ,2469,0.09890917873697413,0.12893947123519056,0.030030292498216427,0.019495616147476413,0.10353797569541046,-0.04415938725530937,-0.02743077671531428,0.01,0.010357142857142856,True,True
C,gdp_velocity_pct,GDP velocity (normalized),3080,0.12359908272786202,0.1457061996167729,0.02210711688891087,0.01943993681183298,0.09091549835033408,-0.06047627633988991,-0.04698880919093033,0.01,0.010357142857142856,True,True
B,lq_emp_71,"Arts, Entertainment & Recreation LQ",2243,0.16972609879853529,0.2683682886577855,0.09864218985925022,0.01685969673115828,0.12953477342588515,-0.09720876272862196,-0.08665209533846342,0.01,0.010357142857142856,True,True
D,log_total_tons,freight tonnage (log10),3144,0.8862569846026512,0.8937621351683354,0.007505150565684127,0.007172815894824214,0.0068904183437737965,-0.006818265039783832,-0.005391948602797737,0.01,0.010357142857142856,True,True
B,lq_emp_81,Other Services (except Public Administration) LQ,2579,0.19633702317263702,0.21146946645124398,0.015132443278606966,0.0027402347176141983,0.04069265076351125,-0.06498677225746786,-0.0571317877060017,0.01,0.010357142857142856,True,True
B,lq_emp_22,Utilities LQ,1415,0.06310193046495738,0.07356191585845662,0.010459985393499238,0.0009357222876300586,0.07748399773890624,-0.017139116920437972,-0.004837967499811884,0.01,0.010357142857142856,True,True
B,lq_emp_99,Unclassified LQ,1075,0.46578410961840655,0.46969493964954134,0.003910830031134793,-0.003573939916897917,0.04348721050762838,-0.05301517114673901,-0.033142478893998815,0.01,0.010357142857142856,True,False
B,lq_emp_56,Administrative & Support & Waste Management LQ,2212,0.2307352269053461,0.22572433284221816,-0.005010894063127935,-0.00914368963708212,-0.020919781512462543,-0.01890951126771595,-0.0124236344183995,0.01,0.010357142857142856,True,False
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",1026,0.4107130463341111,0.642976357311231,0.23226331097711994,-0.021177866804380607,0.39441629126104716,-0.12201278225936842,-0.10190913548254477,0.01,0.010357142857142856,True,False
C,unemployment_velocity,unemployment velocity,3143,0.5501512493443479,0.5228120866678253,-0.027339162676522588,-0.022954334182996083,0.020747535839966913,-0.0299387272324936,-0.021289061454755853,0.24,0.24,False,False
