cluster,cluster_size,mean_intra_cluster_km,corpus_mean_pairwise_km,rank,county_name,similarity_to_centroid
0,1420,1634.6707242522516,1455.275524419369,0,"Washington County, Iowa",0.7976539247175293
0,1420,1634.6707242522516,1455.275524419369,1,"Oklahoma County, Oklahoma",0.7950919983070723
0,1420,1634.6707242522516,1455.275524419369,2,"Washington County, Indiana",0.7864635179011058
0,1420,1634.6707242522516,1455.275524419369,3,"Idaho County, Idaho",0.7859277085494843
0,1420,1634.6707242522516,1455.275524419369,4,"Patrick County, Virginia",0.7849225761911637
1,1429,1242.512786674773,1455.275524419369,0,"Washington County, Wisconsin",0.8133731050195506
1,1429,1242.512786674773,1455.275524419369,1,"Franklin County, Missouri",0.8046655566378208
1,1429,1242.512786674773,1455.275524419369,2,"Jackson County, Missouri",0.8031770680248241
1,1429,1242.512786674773,1455.275524419369,3,"Washington County, Missouri",0.7961748089066859
1,1429,1242.512786674773,1455.275524419369,4,"Lincoln County, Missouri",0.7919601578624768
