pillar,column,label,n,n_baseline_columns,r2_thin_baseline,r2_crowded_baseline,lift_thin_length,lift_crowded_length,lift_thin_extracted_sections,lift_crowded_extracted_sections
B,lq_emp_72,Accommodation & Food Services LQ,2369,97,0.10028155110237424,0.41129291988552974,1.3638899383994207e-05,0.0002474779105892111,0.02809567385487799,0.005786199610680831
B,lq_emp_61,Educational Services LQ,1587,97,0.11247413981762955,0.13357912825309104,0.005217455149759687,0.005577595506140787,0.0029486788839833133,0.005131622546140302
B,lq_emp_48-49,Transportation & Warehousing LQ,2160,97,0.04187245180767851,0.0870632306440382,9.848753917540698e-05,-0.00017798187186013337,0.0064333940581600135,0.004184684976308972
F,distress_count,demographic distress count,3144,117,0.19416532464549974,0.2974851764742139,0.007988539953933005,0.0008003215601994906,0.021722176738493304,0.004010046145560553
D,out_partner_hhi,outbound partner concentration,3144,122,0.3916135437265742,0.400944169568489,0.003913723327895968,0.0004535986739214737,0.005284418221417009,0.003468032316279124
C,gdp_velocity_pct,GDP velocity (normalized),3080,133,0.12655651398129142,0.0707399377178054,0.0010929217555265547,-0.00013163517737246888,0.0019326549733120757,0.002483892738497584
B,lq_emp_81,Other Services (except Public Administration) LQ,2579,97,0.1919971185369408,0.18937944494844783,7.003019008955391e-05,0.0008398565439595718,9.95351185739679e-06,0.0016355123061960741
B,lq_emp_52,Finance & Insurance LQ,2638,97,0.12598591376238055,0.19722228033480416,0.0016715131378433057,-7.799773428218693e-05,0.004781521337278494,0.0016002646062963644
C,unemployment_rate_latest,unemployment rate (level),3143,133,0.50330433058521,0.5201453333632402,0.0009260396714706465,-2.5458093712238394e-05,0.0032658264582382523,0.001169641347200212
B,lq_emp_42,Wholesale Trade LQ,2346,97,0.20889608139055882,0.3438257977515494,-3.988124670395443e-06,0.0003442181806226907,0.004553613908629739,0.0011549313497117852
B,lq_emp_54,"Professional, Scientific & Technical Services LQ",2268,97,0.32742371014621263,0.34851014111925893,0.009064623070121236,0.0051690983102081756,0.0024224849701192097,0.0010486871957761101
B,lq_emp_31-33,Manufacturing LQ,2570,97,0.2100778270349628,0.6814833962322377,0.003179071470149619,0.00025534151011130657,0.0043899131539379965,0.0004986912593941684
B,lq_emp_53,Real Estate & Rental & Leasing LQ,2453,97,0.2544384049170323,0.35105543320716504,0.001520197056647521,0.0016454251113360296,0.0012015355419605633,0.00034625835165180696
D,in_partner_hhi,inbound partner concentration,3144,122,0.3719659881891165,0.3824692918848418,0.0004901465537817673,4.08538205043385e-06,0.00018188936665330946,0.00032240884487810817
D,log_total_tons,freight tonnage (log10),3144,122,0.8827239323777255,0.8902367468117856,0.00031558080863269833,5.844542365429639e-05,0.0008804087272913375,0.00018814507450326534
B,lq_emp_71,"Arts, Entertainment & Recreation LQ",2243,97,0.12837908602880266,0.2641290557052831,0.0006964590542682947,0.00012656883634065696,0.0039924162279233455,0.0001880190461407416
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",1026,97,0.4182849427308084,0.6364055052704434,-4.802484950161556e-05,0.00026521500324472314,-2.926679479764438e-06,2.2553516147105768e-05
E,capital_to_wage_ratio,capital-to-wage ratio,3143,133,0.32618663966814543,0.3747445940860561,0.001231813159657258,8.839558532813818e-06,0.007859583010227489,1.6884239003145396e-05
B,lq_emp_55,Management of Companies & Enterprises LQ,1296,97,0.17957874320758171,0.15619797802843316,0.00017377651431538244,7.027189531716438e-06,0.0009439689155785747,7.4821936495439445e-06
B,lq_emp_62,Health Care & Social Assistance LQ,1942,97,0.20057856174509714,0.28131211186386784,0.0010560922604989642,0.0007301522632333635,-1.6827009482023314e-05,-2.4991566954790656e-06
B,lq_emp_99,Unclassified LQ,1075,97,0.4252527496573769,0.38298687083236493,0.002763720451408269,0.0011393037339427758,0.0009326969370168081,-4.8107724560320086e-05
B,lq_emp_23,Construction LQ,2469,97,0.08310346431534499,0.12585086032570258,2.119956880897167e-05,-5.029022428237884e-05,0.0002726809922295459,-0.00011741909320428512
C,unemployment_velocity,unemployment velocity,3143,133,0.5454484704200988,0.5260243239830574,-0.0002934832294378964,-0.00019269606864369404,-8.439682364003165e-05,-0.00012829788698287548
B,lq_emp_44-45,Retail Trade LQ,3050,97,0.1192677594143523,0.19948546927678634,0.001624324790828524,0.00032640873696032635,-0.0012128743108824613,-0.00024686860693012846
B,lq_emp_56,Administrative & Support & Waste Management LQ,2212,97,0.23196684033827963,0.2316636488125614,2.809664263914158e-06,7.161148130041539e-08,-0.000906311465314058,-0.0004896534201450642
B,lq_emp_22,Utilities LQ,1415,97,0.0625019514884575,0.08676050200140717,-4.922721386080298e-07,-0.00017288147547500632,-0.00013199814261122267,-0.0005070717770352395
B,lq_emp_51,Information LQ,1914,97,0.033480370123059155,0.12812449842904938,-0.004847302557780875,-0.002644560007680652,0.0027521976633394507,-0.0008088494355488196
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",1457,97,0.330486489852871,0.4523323086145755,0.0019999772230174795,5.5694495484814865e-05,0.00196204592880056,-0.001916503586955165
