pillar,column,label,n,r2_baseline,lift_length,r2_alone_length,lift_extracted_min,r2_alone_extracted_min,lift_extracted_mid,r2_alone_extracted_mid,lift_extracted_full,r2_alone_extracted_full,lift_pca50,r2_alone_pca50,lift_full,r2_alone_full,best_embedding_lift,embedding_beats_length,best_extracted_lift,extracted_beats_length
F,distress_count,demographic distress count,3144,0.19556091137122356,0.007687185213492209,-0.0007469716759052059,0.019848186213336505,0.04632328038124012,0.018157469796260206,0.046207187044242204,0.0206672846765783,0.04833060898940056,0.009124873035247338,0.0765449988342084,0.011585895035999827,0.10819689953792455,0.011585895035999827,True,0.0206672846765783,True
B,lq_emp_72,Accommodation & Food Services LQ,2369,0.11667339596540127,-9.713018319756905e-06,0.003998742172527603,-0.00012431353631214836,0.01643312918853823,0.0002712027922627813,0.014539559864351181,0.018921886436279456,0.042670449393023446,0.004634437411019765,0.05243657832868076,0.005712719401576805,0.06893941027042161,0.005712719401576805,True,0.018921886436279456,True
B,lq_emp_51,Information LQ,1914,0.036082029754830325,-0.004741745502443773,0.01434747540694259,0.00980752866726331,0.02573087993180745,0.004920048234334895,0.024908568919311036,0.0038307231368852612,0.010239827540393764,0.005782910738250324,0.04657536694870168,0.01188167376964222,0.06550835821210932,0.01188167376964222,True,0.00980752866726331,True
B,lq_emp_52,Finance & Insurance LQ,2638,0.126107935791404,0.0015968165426791803,0.00157604389393029,0.006791429663821291,0.018181312624852897,0.006346490435416241,0.017108360715280102,0.0069915120350624305,0.025064893724020876,0.0010939607332702828,0.05993696587798347,0.0035071600808233017,0.07980203431987654,0.0035071600808233017,True,0.0069915120350624305,True
D,out_partner_hhi,outbound partner concentration,3144,0.3881731375992157,0.0020437992193772514,0.05007132452832852,0.0018642561463276808,0.07867465604666846,0.006449569644482844,0.08290277110346422,0.004060242623033505,0.08878394755889729,0.0005076363913681936,0.1500788839877314,0.002799707895988379,0.2105961348170089,0.002799707895988379,True,0.006449569644482844,True
C,unemployment_rate_latest,unemployment rate (level),3143,0.5035103533050711,0.0009333995809017726,0.007720081323731365,0.004448239182451852,0.018725753900898368,0.006002122103501151,0.023085023031648277,0.0038709257186585466,0.018041216266248328,0.0032752547829275613,0.11071879896040449,0.004524338695780283,0.18269963462398575,0.004524338695780283,True,0.006002122103501151,True
E,capital_to_wage_ratio,capital-to-wage ratio,3143,0.3561789652550792,0.0008810956985962903,0.003285899042905882,0.003487414346258766,0.0008837573698017298,0.00271874147399942,0.0007038578917297755,0.005792673355430766,0.02043418568969202,0.0005022103468942385,0.04708008109166395,0.002611639453282688,0.07328332886586042,0.002611639453282688,True,0.005792673355430766,True
B,lq_emp_54,"Professional, Scientific & Technical Services LQ",2268,0.33402310746178965,0.0063961948043437244,0.10927754894353603,0.005759190934231495,0.14846884975749142,0.0033965626883769584,0.1461281582829641,0.0013604179029833574,0.14760471435416533,0.0031136050593754128,0.16464204328281962,0.008053276727739589,0.20616743484542077,0.008053276727739589,True,0.005759190934231495,False
B,lq_emp_31-33,Manufacturing LQ,2570,0.21743094083241465,0.002611565351604006,0.022029671462857836,0.0024568341748427702,0.01905348309988608,0.005317941393283454,0.02144193793065563,0.0007619915582847137,0.020823286051907197,0.0009985088308399614,0.09434588770057606,0.0019381399209005279,0.11774718519876637,0.0019381399209005279,False,0.005317941393283454,True
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",1457,0.33387077229867423,0.001972978294830008,0.014455520216413165,0.003783717888366067,0.0809947376051291,0.0015528760316395607,0.08144942235258701,0.0019268154345557509,0.11033050791033583,0.006796867543721552,0.12362534376705736,0.0018281091469706245,0.15060731669647054,0.006796867543721552,True,0.003783717888366067,True
B,lq_emp_48-49,Transportation & Warehousing LQ,2160,0.04197780331897505,0.0011609693896224016,-0.001586085218825417,0.000477694623373659,0.006422801991438409,0.0028366735498507323,0.005788631104353681,0.0015166832712383282,0.007924282302036234,0.00030247224795942884,0.010281287644068438,0.0007767243222660536,0.009396133343778978,0.0007767243222660536,False,0.0028366735498507323,True
