pillar,column,variant,tier,n,r2_baseline,lift
B,lq_emp_11,length,thin,576,0.2750870429916681,0.0014791488686775045
B,lq_emp_11,length,mid,366,0.38831843648550823,-0.0003725421714939614
B,lq_emp_11,length,rich,403,0.2585848801190259,0.008165457994632197
B,lq_emp_11,extracted_min,thin,576,0.2750870429916681,0.0054004496568966776
B,lq_emp_11,extracted_min,mid,366,0.38831843648550823,-0.0013553344498931086
B,lq_emp_11,extracted_min,rich,403,0.2585848801190259,0.024389311878551645
B,lq_emp_11,extracted_mid,thin,576,0.2750870429916681,0.004689889544402304
B,lq_emp_11,extracted_mid,mid,366,0.38831843648550823,-0.001251444081423636
B,lq_emp_11,extracted_mid,rich,403,0.2585848801190259,0.017410733663406508
B,lq_emp_11,extracted_full,thin,576,0.2750870429916681,0.0007444453078377933
B,lq_emp_11,extracted_full,mid,366,0.38831843648550823,-0.0026049172688275
B,lq_emp_11,extracted_full,rich,403,0.2585848801190259,0.01682962088972395
B,lq_emp_11,extracted_sections,thin,576,0.2750870429916681,0.0016884714774669796
B,lq_emp_11,extracted_sections,mid,366,0.38831843648550823,-0.002466798714806817
B,lq_emp_11,extracted_sections,rich,403,0.2585848801190259,0.004063409833971465
B,lq_emp_11,sections_x_tier,thin,576,0.2750870429916681,0.003922221042724217
B,lq_emp_11,sections_x_tier,mid,366,0.38831843648550823,0.004617298345636733
B,lq_emp_11,sections_x_tier,rich,403,0.2585848801190259,0.010733521612093955
B,lq_emp_11,pca50,thin,576,0.2750870429916681,0.013936919416990046
B,lq_emp_11,pca50,mid,366,0.38831843648550823,0.004419740467201283
B,lq_emp_11,pca50,rich,403,0.2585848801190259,-0.005251097035203878
B,lq_emp_11,full,thin,576,0.2750870429916681,0.00566637494824318
B,lq_emp_11,full,mid,366,0.38831843648550823,-0.0009082296657010325
B,lq_emp_11,full,rich,403,0.2585848801190259,-0.0038314104306187424
B,lq_emp_21,length,thin,384,0.44222403687214984,7.893438086292726e-05
B,lq_emp_21,length,mid,265,0.3442024649251172,-0.0002528438717236403
B,lq_emp_21,length,rich,332,0.26651077653114286,0.0010022563790211825
B,lq_emp_21,extracted_min,thin,384,0.44222403687214984,-1.9686522094053416e-05
B,lq_emp_21,extracted_min,mid,265,0.3442024649251172,3.943884650126073e-05
B,lq_emp_21,extracted_min,rich,332,0.26651077653114286,-0.0002734243228665889
B,lq_emp_21,extracted_mid,thin,384,0.44222403687214984,-8.111554045986402e-05
B,lq_emp_21,extracted_mid,mid,265,0.3442024649251172,-6.314301513687948e-05
B,lq_emp_21,extracted_mid,rich,332,0.26651077653114286,-0.00018980359705522698
B,lq_emp_21,extracted_full,thin,384,0.44222403687214984,-2.3327562745922847e-06
B,lq_emp_21,extracted_full,mid,265,0.3442024649251172,2.8746099105525502e-06
B,lq_emp_21,extracted_full,rich,332,0.26651077653114286,-1.1909497897200083e-05
B,lq_emp_21,extracted_sections,thin,384,0.44222403687214984,-1.0326975379282288e-06
B,lq_emp_21,extracted_sections,mid,265,0.3442024649251172,-1.5516637796864075e-06
B,lq_emp_21,extracted_sections,rich,332,0.26651077653114286,-1.014914045016635e-05
B,lq_emp_21,sections_x_tier,thin,384,0.44222403687214984,-0.001587800823605101
B,lq_emp_21,sections_x_tier,mid,265,0.3442024649251172,0.001522357821461151
B,lq_emp_21,sections_x_tier,rich,332,0.26651077653114286,-0.0011909400186475017
B,lq_emp_21,pca50,thin,384,0.44222403687214984,-4.2493806739263285e-05
B,lq_emp_21,pca50,mid,265,0.3442024649251172,-3.6969026742994515e-05
B,lq_emp_21,pca50,rich,332,0.26651077653114286,-0.00014416730149247048
B,lq_emp_21,full,thin,384,0.44222403687214984,-0.0005297786284401695
B,lq_emp_21,full,mid,265,0.3442024649251172,-0.0016287952255477078
B,lq_emp_21,full,rich,332,0.26651077653114286,-0.00020221268282349936
B,lq_emp_22,length,thin,510,0.08969672578294807,-0.0010538168768057243
B,lq_emp_22,length,mid,389,0.06547663867756404,0.00033821065559147545
B,lq_emp_22,length,rich,437,0.013926190247157244,-0.0005970533154354696
B,lq_emp_22,extracted_min,thin,510,0.08969672578294807,-2.266328553712782e-07
B,lq_emp_22,extracted_min,mid,389,0.06547663867756404,1.4055593428152768e-05
B,lq_emp_22,extracted_min,rich,437,0.013926190247157244,4.42182077875497e-06
B,lq_emp_22,extracted_mid,thin,510,0.08969672578294807,-3.4045345322919474e-06
B,lq_emp_22,extracted_mid,mid,389,0.06547663867756404,2.202076160107147e-05
B,lq_emp_22,extracted_mid,rich,437,0.013926190247157244,9.40583438824305e-06
B,lq_emp_22,extracted_full,thin,510,0.08969672578294807,2.92584045381572e-05
B,lq_emp_22,extracted_full,mid,389,0.06547663867756404,0.00035790556381476435
B,lq_emp_22,extracted_full,rich,437,0.013926190247157244,-0.0009342106248865223
B,lq_emp_22,extracted_sections,thin,510,0.08969672578294807,-5.171389375502322e-05
B,lq_emp_22,extracted_sections,mid,389,0.06547663867756404,-0.0016471735595445791
B,lq_emp_22,extracted_sections,rich,437,0.013926190247157244,-0.006418210960218107
B,lq_emp_22,sections_x_tier,thin,510,0.08969672578294807,0.00015497946881781743
B,lq_emp_22,sections_x_tier,mid,389,0.06547663867756404,0.0013805142814072857
B,lq_emp_22,sections_x_tier,rich,437,0.013926190247157244,-0.00016046152042958894
B,lq_emp_22,pca50,thin,510,0.08969672578294807,0.0024263419505655692
B,lq_emp_22,pca50,mid,389,0.06547663867756404,0.0005557590443495686
B,lq_emp_22,pca50,rich,437,0.013926190247157244,0.0013483866358567909
B,lq_emp_22,full,thin,510,0.08969672578294807,0.0023590256061162274
