target,label,representation,n,n_columns,r2_reduced,r2_reduced_geo,r2_full,contribution,contribution_geo,reduced_r2_negative,excluded
broadband_rate,household broadband adoption rate,typed,3144,29,0.5138294147020475,0.5169944121357133,0.5112664626687244,-0.0025629520333230182,-0.0057279494669888464,False,False
broadband_rate,household broadband adoption rate,typed_transformed,3144,37,0.5138294147020475,0.5169944121357133,0.510638564800564,-0.003190849901483439,-0.006355847335149267,False,False
broadband_rate,household broadband adoption rate,latlong_only,3144,2,0.5138294147020475,0.5169944121357133,0.5169944121357133,0.003164997433665828,0.0,False,False
broadband_rate,household broadband adoption rate,minilm_uniform,3144,384,0.5138294147020475,0.5169944121357133,0.493988850703,-0.019840563999047434,-0.023005561432713262,False,False
broadband_rate,household broadband adoption rate,minilm_uniform_l2,3144,384,0.5138294147020475,0.5169944121357133,0.49776223960221366,-0.016067175099833797,-0.019232172533499625,False,False
broadband_rate,household broadband adoption rate,minilm_uniform_pca29,3144,29,0.5138294147020475,0.5169944121357133,0.5191785866920897,0.005349171990042256,0.002184174556376428,False,False
broadband_rate,household broadband adoption rate,minilm_uniform_pca64,3144,64,0.5138294147020475,0.5169944121357133,0.5129142821240085,-0.0009151325780389907,-0.004080130011704819,False,False
broadband_rate,household broadband adoption rate,minilm_uniform_ccr_pca29,3144,29,0.5138294147020475,0.5169944121357133,0.5242819151209797,0.010452500418932198,0.00728750298526637,False,False
broadband_rate,household broadband adoption rate,minilm_prose_plus_history_ccr_pca29,3144,29,0.5138294147020475,0.5169944121357133,0.523125251325202,0.009295836623154585,0.006130839189488757,False,False
median_household_income,median household income,typed,3142,29,0.7357593667836285,0.7373625256310141,0.7326028183721032,-0.0031565484115253506,-0.00475970725891095,False,False
median_household_income,median household income,typed_transformed,3142,37,0.7357593667836285,0.7373625256310141,0.7318232757135107,-0.003936091070117831,-0.00553924991750343,False,False
median_household_income,median household income,latlong_only,3142,2,0.7357593667836285,0.7373625256310141,0.7373625256310141,0.0016031588473855996,0.0,False,False
median_household_income,median household income,minilm_uniform,3142,384,0.7357593667836285,0.7373625256310141,0.693595754397125,-0.04216361238650357,-0.04376677123388917,False,False
median_household_income,median household income,minilm_uniform_l2,3142,384,0.7357593667836285,0.7373625256310141,0.7001658847682317,-0.035593482015396805,-0.037196640862782404,False,False
median_household_income,median household income,minilm_uniform_pca29,3142,29,0.7357593667836285,0.7373625256310141,0.7342858789980826,-0.0014734877855459017,-0.003076646632931501,False,False
median_household_income,median household income,minilm_uniform_pca64,3142,64,0.7357593667836285,0.7373625256310141,0.7317596470938914,-0.0039997196897371134,-0.005602878537122713,False,False
median_household_income,median household income,minilm_uniform_ccr_pca29,3142,29,0.7357593667836285,0.7373625256310141,0.7368311460161923,0.001071779232563741,-0.0005313796148218586,False,False
median_household_income,median household income,minilm_prose_plus_history_ccr_pca29,3142,29,0.7357593667836285,0.7373625256310141,0.7393563784024539,0.0035970116188254186,0.001993852771439819,False,False
median_age,median age,typed,3144,29,0.4589453885101371,0.47058493096933207,0.4659057412757406,0.0069603527656034725,-0.00467918969359149,False,False
median_age,median age,typed_transformed,3144,37,0.4589453885101371,0.47058493096933207,0.46545245220341,0.006507063693272919,-0.005132478765922044,False,False
median_age,median age,latlong_only,3144,2,0.4589453885101371,0.47058493096933207,0.47058493096933207,0.011639542459194963,0.0,False,False
median_age,median age,minilm_uniform,3144,384,0.4589453885101371,0.47058493096933207,0.4050042021566814,-0.05394118635345568,-0.06558072881265065,False,False
median_age,median age,minilm_uniform_l2,3144,384,0.4589453885101371,0.47058493096933207,0.417532956059004,-0.04141243245113313,-0.05305197491032809,False,False
median_age,median age,minilm_uniform_pca29,3144,29,0.4589453885101371,0.47058493096933207,0.46269724116699396,0.0037518526568568467,-0.007887689802338116,False,False
median_age,median age,minilm_uniform_pca64,3144,64,0.4589453885101371,0.47058493096933207,0.45730552922184264,-0.0016398592882944651,-0.013279401747489428,False,False
median_age,median age,minilm_uniform_ccr_pca29,3144,29,0.4589453885101371,0.47058493096933207,0.46861920012956615,0.00967381161942904,-0.0019657308397659223,False,False
median_age,median age,minilm_prose_plus_history_ccr_pca29,3144,29,0.4589453885101371,0.47058493096933207,0.4713516820882039,0.012406293578066774,0.0007667511188718112,False,False
median_home_value,median owner-occupied home value,typed,3138,29,0.7235286519914612,0.7219911591693693,0.7210179245156718,-0.0025107274757893983,-0.0009732346536974745,False,False
median_home_value,median owner-occupied home value,typed_transformed,3138,37,0.7235286519914612,0.7219911591693693,0.7120094162363978,-0.011519235755063417,-0.009981742932971494,False,False
median_home_value,median owner-occupied home value,latlong_only,3138,2,0.7235286519914612,0.7219911591693693,0.7219911591693693,-0.0015374928220919237,0.0,False,False
median_home_value,median owner-occupied home value,minilm_uniform,3138,384,0.7235286519914612,0.7219911591693693,0.6750766573308853,-0.048451994660575926,-0.046914501838484,False,False
median_home_value,median owner-occupied home value,minilm_uniform_l2,3138,384,0.7235286519914612,0.7219911591693693,0.6924883324408656,-0.031040319550595608,-0.029502826728503684,False,False
median_home_value,median owner-occupied home value,minilm_uniform_pca29,3138,29,0.7235286519914612,0.7219911591693693,0.7244775937328689,0.0009489417414076939,0.0024864345634996177,False,False
median_home_value,median owner-occupied home value,minilm_uniform_pca64,3138,64,0.7235286519914612,0.7219911591693693,0.7183462368948408,-0.00518241509662043,-0.003644922274528506,False,False
median_home_value,median owner-occupied home value,minilm_uniform_ccr_pca29,3138,29,0.7235286519914612,0.7219911591693693,0.7282476787341177,0.004719026742656451,0.006256519564748375,False,False
median_home_value,median owner-occupied home value,minilm_prose_plus_history_ccr_pca29,3138,29,0.7235286519914612,0.7219911591693693,0.742473134051858,0.018944482060396783,0.020481974882488707,False,False
mean_commute_minutes,mean commute time to work,typed,3141,29,0.3804314723596287,0.4184785251141453,0.3814726741173704,0.0010412017577416943,-0.03700585099677489,False,False
mean_commute_minutes,mean commute time to work,typed_transformed,3141,37,0.3804314723596287,0.4184785251141453,0.3811338748429096,0.0007024024832809062,-0.03734465027123568,False,False
mean_commute_minutes,mean commute time to work,latlong_only,3141,2,0.3804314723596287,0.4184785251141453,0.4184785251141453,0.038047052754516586,0.0,False,False
mean_commute_minutes,mean commute time to work,minilm_uniform,3141,384,0.3804314723596287,0.4184785251141453,0.32606451341373544,-0.05436695894589327,-0.09241401170040986,False,False
mean_commute_minutes,mean commute time to work,minilm_uniform_l2,3141,384,0.3804314723596287,0.4184785251141453,0.3296189035579178,-0.05081256880171092,-0.08885962155622751,False,False
mean_commute_minutes,mean commute time to work,minilm_uniform_pca29,3141,29,0.3804314723596287,0.4184785251141453,0.39428042843020816,0.013848956070579455,-0.02419809668393713,False,False
mean_commute_minutes,mean commute time to work,minilm_uniform_pca64,3141,64,0.3804314723596287,0.4184785251141453,0.3842665236120646,0.0038350512524358837,-0.0342120015020807,False,False
mean_commute_minutes,mean commute time to work,minilm_uniform_ccr_pca29,3141,29,0.3804314723596287,0.4184785251141453,0.39402411883047794,0.013592646470849234,-0.02445440628366735,False,False
mean_commute_minutes,mean commute time to work,minilm_prose_plus_history_ccr_pca29,3141,29,0.3804314723596287,0.4184785251141453,0.4074245999958953,0.0269931276362666,-0.011053925118249985,False,False
per_capita_income,per capita income,typed,3144,29,0.7820316721934607,0.7867109722264417,0.7841632875199686,0.002131615326507852,-0.0025476847064731523,False,False
per_capita_income,per capita income,typed_transformed,3144,37,0.7820316721934607,0.7867109722264417,0.7845198652119886,0.0024881930185278733,-0.002191107014453131,False,False
per_capita_income,per capita income,latlong_only,3144,2,0.7820316721934607,0.7867109722264417,0.7867109722264417,0.004679300032981004,0.0,False,False
per_capita_income,per capita income,minilm_uniform,3144,384,0.7820316721934607,0.7867109722264417,0.7427016891486946,-0.03932998304476609,-0.0440092830777471,False,False
per_capita_income,per capita income,minilm_uniform_l2,3144,384,0.7820316721934607,0.7867109722264417,0.7496376056535188,-0.032394066539941924,-0.03707336657292293,False,False
per_capita_income,per capita income,minilm_uniform_pca29,3144,29,0.7820316721934607,0.7867109722264417,0.7818308047444464,-0.00020086744901426368,-0.004880167481995268,False,False
per_capita_income,per capita income,minilm_uniform_pca64,3144,64,0.7820316721934607,0.7867109722264417,0.7787332598792882,-0.003298412314172494,-0.007977712347153498,False,False
per_capita_income,per capita income,minilm_uniform_ccr_pca29,3144,29,0.7820316721934607,0.7867109722264417,0.7828059693858205,0.0007742971923597741,-0.00390500284062123,False,False
per_capita_income,per capita income,minilm_prose_plus_history_ccr_pca29,3144,29,0.7820316721934607,0.7867109722264417,0.7823798916936775,0.0003482195002167954,-0.004331080532764209,False,False
median_family_income,median family income,typed,3140,29,0.7678069255342514,0.7640152540199379,0.7691373736670486,0.0013304481327971462,0.005122119647110734,False,False
median_family_income,median family income,typed_transformed,3140,37,0.7678069255342514,0.7640152540199379,0.768674125385433,0.0008671998511815548,0.004658871365495143,False,False
median_family_income,median family income,latlong_only,3140,2,0.7678069255342514,0.7640152540199379,0.7640152540199379,-0.003791671514313588,0.0,False,False
median_family_income,median family income,minilm_uniform,3140,384,0.7678069255342514,0.7640152540199379,0.7243753010765895,-0.04343162445766191,-0.03963995294334832,False,False
median_family_income,median family income,minilm_uniform_l2,3140,384,0.7678069255342514,0.7640152540199379,0.7302750961444545,-0.037531829389796934,-0.033740157875483345,False,False
median_family_income,median family income,minilm_uniform_pca29,3140,29,0.7678069255342514,0.7640152540199379,0.7664065509085203,-0.001400374625731171,0.002391296888582417,False,False
median_family_income,median family income,minilm_uniform_pca64,3140,64,0.7678069255342514,0.7640152540199379,0.761169698332866,-0.006637227201385487,-0.002845555687071899,False,False
median_family_income,median family income,minilm_uniform_ccr_pca29,3140,29,0.7678069255342514,0.7640152540199379,0.7691871329018687,0.0013802073676172366,0.005171878881930825,False,False
median_family_income,median family income,minilm_prose_plus_history_ccr_pca29,3140,29,0.7678069255342514,0.7640152540199379,0.7688841027743523,0.0010771772401008128,0.004868848754414401,False,False
median_gross_rent,median gross rent,typed,3134,29,0.7571977307699691,0.7662214151429287,0.7573858910436558,0.00018816027368673272,-0.008835524099272907,False,False
median_gross_rent,median gross rent,typed_transformed,3134,37,0.7571977307699691,0.7662214151429287,0.7587526367092282,0.0015549059392591102,-0.007468778433700529,False,False
median_gross_rent,median gross rent,latlong_only,3134,2,0.7571977307699691,0.7662214151429287,0.7662214151429287,0.00902368437295964,0.0,False,False
median_gross_rent,median gross rent,minilm_uniform,3134,384,0.7571977307699691,0.7662214151429287,0.7511016869887955,-0.006096043781173566,-0.015119728154133205,False,False
median_gross_rent,median gross rent,minilm_uniform_l2,3134,384,0.7571977307699691,0.7662214151429287,0.7575803417015049,0.0003826109315357984,-0.008641073441423841,False,False
median_gross_rent,median gross rent,minilm_uniform_pca29,3134,29,0.7571977307699691,0.7662214151429287,0.7690117650105663,0.011814034240597238,0.002790349867637598,False,False
median_gross_rent,median gross rent,minilm_uniform_pca64,3134,64,0.7571977307699691,0.7662214151429287,0.7654160563626965,0.008218325592727393,-0.0008053587802322459,False,False
median_gross_rent,median gross rent,minilm_uniform_ccr_pca29,3134,29,0.7571977307699691,0.7662214151429287,0.7719337630445363,0.014736032274567212,0.005712347901607573,False,False
median_gross_rent,median gross rent,minilm_prose_plus_history_ccr_pca29,3134,29,0.7571977307699691,0.7662214151429287,0.7686200510147836,0.011422320244814488,0.0023986358718548484,False,False
median_contract_rent,median contract rent,typed,3129,29,0.8100417240982429,0.8086416751863787,0.8113424258845898,0.0013007017863468917,0.002700750698211074,False,False
