pillar,column,label,scope,n,r2_baseline,lift
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",economy,1457,0.3362495816743043,0.0004355354223498642
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",economy_plus,1457,0.3362495816743043,0.0010657365261574903
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",all_sections,1457,0.3362495816743043,0.002047268251734402
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",no_narrative,1457,0.3362495816743043,-0.0007887117476534922
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",economy,1026,0.4070664866928364,-2.6237807585482997e-06
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",economy_plus,1026,0.4070664866928364,-2.5268341664275162e-05
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",all_sections,1026,0.4070664866928364,-0.0001110361459055742
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",no_narrative,1026,0.4070664866928364,-0.0001818893332669047
B,lq_emp_22,Utilities LQ,economy,1415,0.053968085673279154,-0.003236776401198904
B,lq_emp_22,Utilities LQ,economy_plus,1415,0.053968085673279154,-0.003544586190630139
B,lq_emp_22,Utilities LQ,all_sections,1415,0.053968085673279154,-0.0005834497416346007
B,lq_emp_22,Utilities LQ,no_narrative,1415,0.053968085673279154,-0.0005277690364685617
B,lq_emp_23,Construction LQ,economy,2469,0.09829521286403486,0.00015368633468137993
B,lq_emp_23,Construction LQ,economy_plus,2469,0.09829521286403486,-0.00022976891704995506
B,lq_emp_23,Construction LQ,all_sections,2469,0.09829521286403486,1.363489311922983e-05
B,lq_emp_23,Construction LQ,no_narrative,2469,0.09829521286403486,0.0001710919128121713
B,lq_emp_31-33,Manufacturing LQ,economy,2570,0.21533661592667597,0.005827199385416315
B,lq_emp_31-33,Manufacturing LQ,economy_plus,2570,0.21533661592667597,0.004271699510895899
B,lq_emp_31-33,Manufacturing LQ,all_sections,2570,0.21533661592667597,0.004256920055095148
B,lq_emp_31-33,Manufacturing LQ,no_narrative,2570,0.21533661592667597,0.0032074611296186717
B,lq_emp_42,Wholesale Trade LQ,economy,2346,0.21905308708738436,0.0020632411315038013
B,lq_emp_42,Wholesale Trade LQ,economy_plus,2346,0.21905308708738436,0.0013688531548350369
B,lq_emp_42,Wholesale Trade LQ,all_sections,2346,0.21905308708738436,0.009896048089623632
B,lq_emp_42,Wholesale Trade LQ,no_narrative,2346,0.21905308708738436,0.005592798245677044
B,lq_emp_44-45,Retail Trade LQ,economy,3050,0.11176030272464232,-0.001438649907400058
B,lq_emp_44-45,Retail Trade LQ,economy_plus,3050,0.11176030272464232,0.0002992892918857182
B,lq_emp_44-45,Retail Trade LQ,all_sections,3050,0.11176030272464232,-0.00017675240496817235
B,lq_emp_44-45,Retail Trade LQ,no_narrative,3050,0.11176030272464232,-0.002561048176285663
B,lq_emp_48-49,Transportation & Warehousing LQ,economy,2160,0.042099063008771975,0.005680735227677647
B,lq_emp_48-49,Transportation & Warehousing LQ,economy_plus,2160,0.042099063008771975,0.004477715922912462
B,lq_emp_48-49,Transportation & Warehousing LQ,all_sections,2160,0.042099063008771975,0.00235439582715391
B,lq_emp_48-49,Transportation & Warehousing LQ,no_narrative,2160,0.042099063008771975,0.002786104405488432
