county_a,county_b,similarity,distance_km
"Madison County, Montana","Madison County, Virginia",0.8759988635487046,2866.347718029207
"Jefferson County, Georgia","Jefferson County, Idaho",0.8652690781526303,2844.5151385756376
"Washington County, Idaho","Washington County, Wisconsin",0.8566299625481093,2279.2887173337376
"Washington County, Kansas","Washington County, New York",0.8477047256732597,2000.49248431178
"Lincoln County, Washington","Lincoln County, West Virginia",0.8421000137880428,3107.2110013113916
"Grant County, Kansas","Grant County, West Virginia",0.834795009546747,1931.1633057048155
"Jefferson County, Georgia","Jefferson County, Montana",0.8328401170372827,2901.1051413716928
"Knox County, Maine","Knox County, Texas",0.8325384678219738,2879.0310600323787
"Washington County, Idaho","Washington County, North Carolina",0.8285617835290118,3511.724908346575
"Jefferson County, Missouri","Jefferson County, Montana",0.8279788529390646,1968.0839336744075
"Madison County, New York","Madison County, Texas",0.8278963042794826,2228.005395256704
"Benton County, Missouri","Benton County, Washington",0.8263426033034702,2317.8595947949475
"Beaver County, Pennsylvania","Beaver County, Utah",0.8260040964595289,2816.3382043050156
"Lincoln County, Kansas","Lincoln County, Oregon",0.8246821850922778,2207.176409965222
"Lincoln County, Mississippi","Lincoln County, Washington",0.8231855383167253,2961.3051152122807
"Columbia County, Washington","Columbia County, Wisconsin",0.8215645629617895,2261.0572127955106
"Washington County, Georgia","Washington County, Idaho",0.8211404540650201,3185.0257660243387
"Madison County, Georgia","Madison County, Montana",0.8196692542825308,2732.3372770309365
"Lincoln County, Idaho","Lincoln County, West Virginia",0.8194191117774604,2743.8434026380596
"Adams County, Ohio","Adams County, Washington",0.8174702424424563,2965.7548828031117
