pillar,column,label,n,r2_baseline,r2_baseline_flexible,lift_structure,lift_structure_flexbase,lift_typed,lift_typed_flexbase,lift_typed_plus_structure,lift_typed_plus_structure_flexbase,lift_size_nonlinear,lift_size_nonlinear_flexbase
B,lq_emp_72,Accommodation & Food Services LQ,2369,0.1273463186110919,0.1738813870871414,0.025461320279749344,0.012028107740071237,0.025305423064226562,0.025540366213229415,0.047808353223016575,0.04018336071877948,0.024840811796482676,3.2384414283548324e-07
B,lq_emp_44-45,Retail Trade LQ,3050,0.11176030272464232,0.15111335248245905,0.010313080189363388,0.0008446783065300112,-0.001438649907400058,-0.001947473819581269,0.005639370176697467,0.002547620959690744,0.0496248919195893,5.898086529176894e-07
F,distress_count,demographic distress count,3144,0.20167572221044416,-0.04462066913334928,0.006713098724784761,0.0006084135871298191,0.021816960040274447,0.0034712999035890757,0.022166321804471867,0.005737959305287976,0.01892370866373161,-3.184577648251974e-07
B,lq_emp_31-33,Manufacturing LQ,2570,0.21533661592667597,0.2096869843991731,0.005995388464220319,0.003561049998434207,0.005827199385416315,0.0022793664341459463,0.009111434068518554,0.0053490355155045854,5.913099429211144e-06,3.2654922854646884e-07
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",1457,0.3362495816743043,0.3553227604119398,0.004672614957144439,6.311548309312354e-05,0.0004355354223498642,-0.0017835035283219058,0.004837283743638343,-2.35280666628368e-05,0.037317943135963705,-7.309292870960604e-08
B,lq_emp_61,Educational Services LQ,1587,0.11605968685111279,0.11939022852424708,0.0036866813624627515,0.0005047819402355103,9.412500025529624e-05,0.0013929019980492008,0.002854694931953561,0.001780187864270255,0.006531165903084446,-8.859963085416922e-08
B,lq_emp_51,Information LQ,1914,0.034408517348630485,0.10067094954740874,0.0036596329491876967,7.687930821109745e-05,0.0027931312355452542,-0.00018577331239932882,0.007840344255376386,1.6736975209097338e-06,0.0870866026310455,9.993833405275154e-08
C,unemployment_rate_latest,unemployment rate (level),3143,0.5027632741932753,0.4678763571271417,0.0033720386242519496,0.0019014903545109263,0.003627672914572888,0.0017166666115941975,0.006290445108918963,0.004987446295292464,5.781054648323902e-07,2.130970301328361e-07
B,lq_emp_42,Wholesale Trade LQ,2346,0.21905308708738436,0.289163756074047,0.003254730573860165,0.0010723360989688402,0.0020632411315038013,0.001308351913394512,0.004895987493479637,0.0025524339739382285,0.036126825365470516,-1.0931332983243891e-07
B,lq_emp_71,"Arts, Entertainment & Recreation LQ",2243,0.1705917025261645,0.18682841784252557,0.0029038361454314376,0.0022135446867962427,0.0017018719620474076,0.0019419512931961869,0.004267433159396261,0.0034393039629353472,1.770763642272577e-06,-2.9045765170820914e-07
B,lq_emp_62,Health Care & Social Assistance LQ,1942,0.1949204967431195,0.19835580792145924,0.002515942078804012,0.0011678726825226082,-0.00015609780878700352,-0.0002101046099780568,0.0013417305173756278,0.00042488923262218314,9.058305814324541e-07,-4.9178430994167854e-08
B,lq_emp_99,Unclassified LQ,1075,0.4647821277214771,0.4869419313920875,0.002166241639305899,-3.770214805554062e-05,0.0010208161284400719,0.000651613850651156,0.002375516930093302,-0.00038957014811435986,0.026551547942407994,-1.254505271885975e-07
B,lq_emp_54,"Professional, Scientific & Technical Services LQ",2268,0.3267065339053543,0.4009554103036014,0.0020041856891717114,1.4867217825065282e-05,0.002448215454308844,-1.7240686057684584e-06,0.0023241751055832482,1.3058373190877326e-05,0.050368391800652,-6.961137932748329e-08
E,capital_to_wage_ratio,capital-to-wage ratio,3143,0.3703232263560705,0.14273803720319544,0.0017930206418097505,0.0007486374859099199,0.005295595842387146,0.003108211181168996,0.004473431949178486,0.002716059916842428,5.925599263045811e-06,2.5952446047750044e-07
C,gdp_velocity_pct,GDP velocity (normalized),3080,0.12332557858744797,0.13582577390814565,0.0005481676212376607,3.305516471330261e-05,0.001855640545938786,0.0013965373242178503,0.0023299740395466007,0.0005172564934532442,0.0052980813773194635,0.0
B,lq_emp_55,Management of Companies & Enterprises LQ,1296,0.1937465106412405,0.1978551192453183,0.000505023381683678,-0.00015030882218891595,0.0007497288212641173,0.000968069515142389,0.0018834823418444335,0.0019052773502458153,0.005743177198665794,-1.0088618607184685e-08
B,lq_emp_22,Utilities LQ,1415,0.053968085673279154,0.05790247962968598,0.00035759635059295913,7.113697934046925e-05,-0.003236776401198904,-2.4343656306324846e-05,-0.0006065497381302354,-0.000977731101469148,0.012961073531842282,7.671337820536195e-08
D,in_partner_hhi,inbound partner concentration,3144,0.3635412862183681,0.37493689905929717,6.232136221906437e-05,-3.843150752635971e-06,8.884130235031762e-06,0.000281022875567416,8.968881197646272e-05,1.725218640347137e-05,0.03290730411576326,2.995182257770068e-08
B,lq_emp_81,Other Services (except Public Administration) LQ,2579,0.197496190083839,0.2008193525569758,4.168736945675544e-05,4.058141503138213e-05,5.966558791925536e-06,4.644575001711004e-06,4.732470330193195e-05,4.4889480599996645e-05,3.6169867200230854e-06,2.3621013289787385e-07
D,log_total_tons,freight tonnage (log10),3144,0.8860441073691143,0.8876855656820717,2.357966956012536e-05,1.2487721513076977e-05,0.0008769320385512147,0.0007667657179522003,0.0008284067321977506,0.0006444452010622159,2.5196983077790946e-07,1.4936715564406455e-07
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",1026,0.4070664866928364,0.42274940917162906,1.2444543185496926e-05,-0.00012696072563511684,-2.6237807585482997e-06,-6.777511990518903e-07,1.3482843018719493e-06,-7.328318094101949e-05,8.097543719998157e-07,4.67353492572542e-08
C,unemployment_velocity,unemployment velocity,3143,0.5499196481999624,0.5310565977528199,-5.737501812319579e-06,9.025719647004493e-06,-7.057214899564013e-05,-0.0001113002502093341,0.000319278751321761,0.0003034754209032542,-3.5834507361443e-07,1.630958292864193e-07
D,out_partner_hhi,outbound partner concentration,3144,0.3861398493030823,0.3752411867048505,-7.49542489788535e-05,-3.103820422900583e-09,0.003703168365868592,0.002022871308838603,0.0014459728857134646,-4.045210896019835e-05,0.030294192382530394,4.415146268588188e-07
B,lq_emp_23,Construction LQ,2469,0.09829521286403486,0.11208933327945547,-0.0004003005208821353,3.672176032620822e-05,0.00015368633468137993,4.093763246881821e-05,-0.0004707783976726221,4.6743120498682345e-05,1.7687770185181861e-06,2.331277925149422e-07
B,lq_emp_53,Real Estate & Rental & Leasing LQ,2453,0.2626236425183559,0.2837977635551511,-0.00044300358490589886,-0.0009516681664890614,0.0023069642659308,-0.000390414434317754,0.0005946320962590956,0.0004166666178068157,2.8874754509633505e-07,-3.7591207702192264e-08
B,lq_emp_48-49,Transportation & Warehousing LQ,2160,0.042099063008771975,0.047718184902204475,-0.0006261125423556724,-0.001854509432811735,0.005680735227677647,0.0024279957410409114,0.003327336496369959,-0.0005481665424282856,-0.0004154589092081329,7.13932123419525e-08
B,lq_emp_56,Administrative & Support & Waste Management LQ,2212,0.23236025404579708,0.23256445521161595,-0.0011320524555454847,-0.0014496301831981029,-0.0008665884014354974,-0.0008372140243668724,-0.00020458507347298482,-0.0001657145544972094,4.584579328392735e-07,-3.009518489971441e-08
B,lq_emp_52,Finance & Insurance LQ,2638,0.12576347654606812,0.20129712758335083,-0.00216985299480299,0.0001111736665200258,0.0040068973022570065,0.0012941298211609498,0.0016033854175405704,0.0002179807903870401,0.06521304553737961,-1.2146449845928942e-08
