pillar,column,label,representation,tier,n,r2_baseline,lift
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",lead_only,thin,576,0.2750870429916681,0.001396142171887993
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",lead_only,mid,366,0.38831843648550823,-0.0019352647959581804
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",lead_only,rich,403,0.2585848801190259,0.0021855035471205486
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",lead_only_pca64,thin,576,0.2750870429916681,0.0016758790005688695
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",lead_only_pca64,mid,366,0.38831843648550823,-0.001573440556862149
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",lead_only_pca64,rich,403,0.2585848801190259,0.0022382311948887512
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",lead_only_l2,thin,576,0.2750870429916681,0.001465838387648244
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",lead_only_l2,mid,366,0.38831843648550823,-0.0017986503387488195
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",lead_only_l2,rich,403,0.2585848801190259,0.004447149775462456
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",uniform,thin,576,0.2750870429916681,0.00019055019291891462
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",uniform,mid,366,0.38831843648550823,-0.0007331507607041265
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",uniform,rich,403,0.2585848801190259,0.015687870006761973
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",uniform_pca64,thin,576,0.2750870429916681,-0.0029883663686436357
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",uniform_pca64,mid,366,0.38831843648550823,-0.003093148289077252
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",uniform_pca64,rich,403,0.2585848801190259,0.014444208753802035
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",uniform_l2,thin,576,0.2750870429916681,0.00037876525185942533
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",uniform_l2,mid,366,0.38831843648550823,-0.0005735340092923868
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",uniform_l2,rich,403,0.2585848801190259,0.01880710765279836
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional,thin,576,0.2750870429916681,0.0002015009105695853
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional,mid,366,0.38831843648550823,9.219185684883335e-05
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional,rich,403,0.2585848801190259,0.001198732439190553
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional_pca64,thin,576,0.2750870429916681,0.0004744718360557565
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional_pca64,mid,366,0.38831843648550823,0.0002791963401080899
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional_pca64,rich,403,0.2585848801190259,0.001439251969930333
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional_l2,thin,576,0.2750870429916681,0.0001669092465614863
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional_l2,mid,366,0.38831843648550823,-0.00010562343921127759
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional_l2,rich,403,0.2585848801190259,0.001479908927265794
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional_inverse,thin,576,0.2750870429916681,-0.0009387855191983485
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional_inverse,mid,366,0.38831843648550823,-0.0035227516489444444
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional_inverse,rich,403,0.2585848801190259,-0.0010560135883731503
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional_inverse_pca64,thin,576,0.2750870429916681,0.00010736196360927597
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional_inverse_pca64,mid,366,0.38831843648550823,-0.0003435256539073839
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional_inverse_pca64,rich,403,0.2585848801190259,0.0002584100827303093
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional_inverse_l2,thin,576,0.2750870429916681,0.00019660082004391288
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional_inverse_l2,mid,366,0.38831843648550823,-0.002656286535732244
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",tier_conditional_inverse_l2,rich,403,0.2585848801190259,0.0017307256510030733
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_stub,thin,576,0.2750870429916681,-0.002280600769374308
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_stub,mid,366,0.38831843648550823,-0.001783251007906772
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_stub,rich,403,0.2585848801190259,0.008955007510167534
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_stub_l2,thin,576,0.2750870429916681,-0.0013321784930936387
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_stub_l2,mid,366,0.38831843648550823,-0.0003142175585362228
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_stub_l2,rich,403,0.2585848801190259,0.01655964562402401
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_thin,thin,576,0.2750870429916681,0.005732325091219237
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_thin,mid,366,0.38831843648550823,-0.0011523569785892862
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_thin,rich,403,0.2585848801190259,0.013775025331747126
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_thin_l2,thin,576,0.2750870429916681,0.008026359293372809
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_thin_l2,mid,366,0.38831843648550823,-0.0018654222601055537
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_thin_l2,rich,403,0.2585848801190259,0.020132947633259346
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_mid,thin,576,0.2750870429916681,-5.293075431667127e-05
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_mid,mid,366,0.38831843648550823,7.903874393144772e-05
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_mid,rich,403,0.2585848801190259,0.00017829110888512023
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_mid_l2,thin,576,0.2750870429916681,-0.000348750214280269
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_mid_l2,mid,366,0.38831843648550823,-0.0010425193335121818
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_mid_l2,rich,403,0.2585848801190259,-8.503412537164134e-05
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_rich,thin,576,0.2750870429916681,0.004368580807798117
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_rich,mid,366,0.38831843648550823,0.0015653273670315215
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_rich,rich,403,0.2585848801190259,0.02361955610593669
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_rich_l2,thin,576,0.2750870429916681,0.0018319127601058582
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_rich_l2,mid,366,0.38831843648550823,0.001308522596827455
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",drop_rich_l2,rich,403,0.2585848801190259,0.017661943413905923
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",typed_sections,thin,576,0.2750870429916681,0.0016884714774669796
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",typed_sections,mid,366,0.38831843648550823,-0.002466798714806817
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",typed_sections,rich,403,0.2585848801190259,0.004063409833971465
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",lead_only,thin,384,0.44222403687214984,0.00011302828284776023
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",lead_only,mid,265,0.3442024649251172,-0.00026916981868874146
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",lead_only,rich,332,0.26651077653114286,-0.0006719058686994739
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",lead_only_pca64,thin,384,0.44222403687214984,-6.610755542313385e-06
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",lead_only_pca64,mid,265,0.3442024649251172,-0.00011675489223528235
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",lead_only_pca64,rich,332,0.26651077653114286,-0.0004082247210707157
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",lead_only_l2,thin,384,0.44222403687214984,0.00011248761071069868
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",lead_only_l2,mid,265,0.3442024649251172,-0.00021999277250484006
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",lead_only_l2,rich,332,0.26651077653114286,-0.0006563583052531241
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",uniform,thin,384,0.44222403687214984,0.004053358317598121
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",uniform,mid,265,0.3442024649251172,-0.013014440769691271
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",uniform,rich,332,0.26651077653114286,0.007694634845277992
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",uniform_pca64,thin,384,0.44222403687214984,0.004452594418011935
