fips_code,county_name,content_length,tier
01001,"Autauga County, Alabama",85,stub
01003,"Baldwin County, Alabama",713,rich
01005,"Barbour County, Alabama",178,thin
01007,"Bibb County, Alabama",748,rich
01009,"Blount County, Alabama",577,rich
01011,"Bullock County, Alabama",430,mid
01013,"Butler County, Alabama",175,thin
01015,"Calhoun County, Alabama",177,thin
01017,"Chambers County, Alabama",294,mid
01019,"Cherokee County, Alabama",79,stub
01021,"Chilton County, Alabama",706,rich
01023,"Choctaw County, Alabama",138,thin
01025,"Clarke County, Alabama",329,mid
01027,"Clay County, Alabama",365,mid
01029,"Cleburne County, Alabama",224,thin
01031,"Coffee County, Alabama",925,rich
01033,"Colbert County, Alabama",532,rich
01035,"Conecuh County, Alabama",146,thin
01037,"Coosa County, Alabama",317,mid
01039,"Covington County, Alabama",184,thin
01041,"Crenshaw County, Alabama",160,thin
01043,"Cullman County, Alabama",590,rich
01045,"Dale County, Alabama",554,rich
01047,"Dallas County, Alabama",206,thin
01049,"DeKalb County, Alabama",176,thin
01051,"Elmore County, Alabama",132,thin
01053,"Escambia County, Alabama",550,rich
01055,"Etowah County, Alabama",235,thin
01057,"Fayette County, Alabama",178,thin
01059,"Franklin County, Alabama",193,thin
01061,"Geneva County, Alabama",266,thin
01063,"Greene County, Alabama",726,rich
01065,"Hale County, Alabama",152,thin
01067,"Henry County, Alabama",161,thin
01069,"Houston County, Alabama",151,thin
01071,"Jackson County, Alabama",652,rich
01073,"Jefferson County, Alabama",354,mid
01075,"Lamar County, Alabama",274,thin
01077,"Lauderdale County, Alabama",220,thin
01079,"Lawrence County, Alabama",271,thin
01081,"Lee County, Alabama",426,mid
01083,"Limestone County, Alabama",139,thin
01085,"Lowndes County, Alabama",448,mid
01087,"Macon County, Alabama",347,mid
01089,"Madison County, Alabama",583,rich
01091,"Marengo County, Alabama",218,thin
01093,"Marion County, Alabama",650,rich
01095,"Marshall County, Alabama",441,mid
01097,"Mobile County, Alabama",1111,rich
01099,"Monroe County, Alabama",884,rich
01101,"Montgomery County, Alabama",157,thin
01103,"Morgan County, Alabama",499,rich
01105,"Perry County, Alabama",298,mid
01107,"Pickens County, Alabama",268,thin
01109,"Pike County, Alabama",230,thin
01111,"Randolph County, Alabama",223,thin
01113,"Russell County, Alabama",429,mid
01115,"St. Clair County, Alabama",320,mid
01117,"Shelby County, Alabama",331,mid
01119,"Sumter County, Alabama",199,thin
