column,dtype,status,description,nulls,fires_on,fire_rate,size_tier,r_with_size
county_name,str,identifier,"e.g. `""Harris County, Texas""`, from `county_crosswalk.parquet`.",0,,,unscanned,
fips_code,str,identifier,5-digit state+county FIPS. Join key.,0,,,unscanned,
lq_emp_11,float64,ships,"Location quotient for Agriculture, Forestry, Fishing & Hunting (NAICS 11) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",1686,,,1 (size in disguise),-0.506
lq_emp_21,float64,ships,"Location quotient for Mining, Quarrying, Oil & Gas (NAICS 21) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",2117,,,1 (size in disguise),-0.416
lq_emp_22,float64,ships,"Location quotient for Utilities (NAICS 22) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",1728,,,2 (partly size),-0.292
lq_emp_23,float64,ships,"Location quotient for Construction (NAICS 23) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",674,,,3 (size-free),-0.03
lq_emp_31-33,float64,ships,"Location quotient for Manufacturing (NAICS 31-33) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",573,,,3 (size-free),-0.14
lq_emp_42,float64,ships,"Location quotient for Wholesale Trade (NAICS 42) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",797,,,2 (partly size),-0.243
lq_emp_44-45,float64,ships,"Location quotient for Retail Trade (NAICS 44-45) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",93,,,3 (size-free),0.118
lq_emp_48-49,float64,ships,"Location quotient for Transportation & Warehousing (NAICS 48-49) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",983,,,3 (size-free),0.113
lq_emp_51,float64,ships,"Location quotient for Information (NAICS 51) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",1229,,,3 (size-free),0.131
lq_emp_52,float64,ships,"Location quotient for Finance & Insurance (NAICS 52) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",505,,,3 (size-free),0.086
lq_emp_53,float64,ships,"Location quotient for Real Estate & Rental & Leasing (NAICS 53) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",690,,,1 (size in disguise),0.314
lq_emp_54,float64,ships,"Location quotient for Professional, Scientific & Technical Services (NAICS 54) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",875,,,1 (size in disguise),0.453
lq_emp_55,float64,ships,"Location quotient for Management of Companies & Enterprises (NAICS 55) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",1847,,,2 (partly size),0.292
lq_emp_56,float64,ships,"Location quotient for Administrative & Support & Waste Management (NAICS 56) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",931,,,1 (size in disguise),0.412
lq_emp_61,float64,ships,"Location quotient for Educational Services (NAICS 61) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",1556,,,2 (partly size),0.251
lq_emp_62,float64,ships,"Location quotient for Health Care & Social Assistance (NAICS 62) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",1201,,,2 (partly size),0.245
lq_emp_71,float64,ships,"Location quotient for Arts, Entertainment & Recreation (NAICS 71) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",900,,,3 (size-free),0.01
lq_emp_72,float64,ships,"Location quotient for Accommodation & Food Services (NAICS 72) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",774,,,3 (size-free),0.135
lq_emp_81,float64,ships,"Location quotient for Other Services (except Public Administration) (NAICS 81) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",564,,,2 (partly size),0.189
lq_emp_99,float64,ships,"Location quotient for Unclassified (NAICS 99) -- the county's share of private employment in this sector over the national share. 1.0 is the national average. Null means unknown, never zero.",2068,,,2 (partly size),-0.228
emp_11,float64,size control,"Private employment level in Agriculture, Forestry, Fishing & Hunting (NAICS 11). A level, not a composition, so it is held in the size control rather than shipped.",1686,,,unscanned,
emp_21,float64,size control,"Private employment level in Mining, Quarrying, Oil & Gas (NAICS 21). A level, not a composition, so it is held in the size control rather than shipped.",2117,,,unscanned,
emp_22,float64,size control,"Private employment level in Utilities (NAICS 22). A level, not a composition, so it is held in the size control rather than shipped.",1728,,,unscanned,
emp_23,float64,size control,"Private employment level in Construction (NAICS 23). A level, not a composition, so it is held in the size control rather than shipped.",674,,,unscanned,
emp_31-33,float64,size control,"Private employment level in Manufacturing (NAICS 31-33). A level, not a composition, so it is held in the size control rather than shipped.",573,,,unscanned,
emp_42,float64,size control,"Private employment level in Wholesale Trade (NAICS 42). A level, not a composition, so it is held in the size control rather than shipped.",797,,,unscanned,
emp_44-45,float64,size control,"Private employment level in Retail Trade (NAICS 44-45). A level, not a composition, so it is held in the size control rather than shipped.",93,,,unscanned,
emp_48-49,float64,size control,"Private employment level in Transportation & Warehousing (NAICS 48-49). A level, not a composition, so it is held in the size control rather than shipped.",983,,,unscanned,
emp_51,float64,size control,"Private employment level in Information (NAICS 51). A level, not a composition, so it is held in the size control rather than shipped.",1229,,,unscanned,
emp_52,float64,size control,"Private employment level in Finance & Insurance (NAICS 52). A level, not a composition, so it is held in the size control rather than shipped.",505,,,unscanned,
emp_53,float64,size control,"Private employment level in Real Estate & Rental & Leasing (NAICS 53). A level, not a composition, so it is held in the size control rather than shipped.",690,,,unscanned,
emp_54,float64,size control,"Private employment level in Professional, Scientific & Technical Services (NAICS 54). A level, not a composition, so it is held in the size control rather than shipped.",875,,,unscanned,
emp_55,float64,size control,"Private employment level in Management of Companies & Enterprises (NAICS 55). A level, not a composition, so it is held in the size control rather than shipped.",1847,,,unscanned,
emp_56,float64,size control,"Private employment level in Administrative & Support & Waste Management (NAICS 56). A level, not a composition, so it is held in the size control rather than shipped.",931,,,unscanned,
emp_61,float64,size control,"Private employment level in Educational Services (NAICS 61). A level, not a composition, so it is held in the size control rather than shipped.",1556,,,unscanned,
emp_62,float64,size control,"Private employment level in Health Care & Social Assistance (NAICS 62). A level, not a composition, so it is held in the size control rather than shipped.",1201,,,unscanned,
emp_71,float64,size control,"Private employment level in Arts, Entertainment & Recreation (NAICS 71). A level, not a composition, so it is held in the size control rather than shipped.",900,,,unscanned,
emp_72,float64,size control,"Private employment level in Accommodation & Food Services (NAICS 72). A level, not a composition, so it is held in the size control rather than shipped.",774,,,unscanned,
emp_81,float64,size control,"Private employment level in Other Services (except Public Administration) (NAICS 81). A level, not a composition, so it is held in the size control rather than shipped.",564,,,unscanned,
emp_99,float64,size control,"Private employment level in Unclassified (NAICS 99). A level, not a composition, so it is held in the size control rather than shipped.",2068,,,unscanned,
disclosure_11,boolean,ships,"True where BLS suppressed the Agriculture, Forestry, Fishing & Hunting cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",54,1632.0,0.5192,2 (partly size),-0.172
disclosure_21,boolean,ships,"True where BLS suppressed the Mining, Quarrying, Oil & Gas cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",639,1478.0,0.4703,2 (partly size),-0.287
disclosure_22,boolean,ships,"True where BLS suppressed the Utilities cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",291,1437.0,0.4572,1 (size in disguise),-0.426
disclosure_23,boolean,ships,"True where BLS suppressed the Construction cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",14,660.0,0.21,2 (partly size),-0.287
disclosure_31-33,boolean,ships,"True where BLS suppressed the Manufacturing cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",60,513.0,0.1632,1 (size in disguise),-0.381
disclosure_42,boolean,ships,"True where BLS suppressed the Wholesale Trade cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",40,757.0,0.2409,2 (partly size),-0.209
disclosure_44-45,boolean,ships,"True where BLS suppressed the Retail Trade cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",5,88.0,0.028,2 (partly size),-0.286
disclosure_48-49,boolean,ships,"True where BLS suppressed the Transportation & Warehousing cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",27,956.0,0.3042,1 (size in disguise),-0.38
disclosure_51,boolean,ships,"True where BLS suppressed the Information cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",115,1114.0,0.3544,1 (size in disguise),-0.383
disclosure_52,boolean,ships,"True where BLS suppressed the Finance & Insurance cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",18,487.0,0.1549,1 (size in disguise),-0.478
disclosure_53,boolean,ships,"True where BLS suppressed the Real Estate & Rental & Leasing cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",124,566.0,0.1801,1 (size in disguise),-0.467
disclosure_54,boolean,ships,"True where BLS suppressed the Professional, Scientific & Technical Services cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",11,864.0,0.2749,1 (size in disguise),-0.352
disclosure_55,boolean,ships,"True where BLS suppressed the Management of Companies & Enterprises cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",641,1206.0,0.3837,1 (size in disguise),-0.592
disclosure_56,boolean,ships,"True where BLS suppressed the Administrative & Support & Waste Management cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",31,900.0,0.2864,1 (size in disguise),-0.47
disclosure_61,boolean,ships,"True where BLS suppressed the Educational Services cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",474,1082.0,0.3443,1 (size in disguise),-0.614
disclosure_62,boolean,ships,"True where BLS suppressed the Health Care & Social Assistance cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",15,1186.0,0.3773,1 (size in disguise),-0.465
disclosure_71,boolean,ships,"True where BLS suppressed the Arts, Entertainment & Recreation cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",195,705.0,0.2243,1 (size in disguise),-0.538
disclosure_72,boolean,ships,"True where BLS suppressed the Accommodation & Food Services cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",17,757.0,0.2409,1 (size in disguise),-0.514
disclosure_81,boolean,ships,"True where BLS suppressed the Other Services (except Public Administration) cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",15,549.0,0.1747,1 (size in disguise),-0.384
disclosure_99,boolean,ships,"True where BLS suppressed the Unclassified cell for employer privacy. Null where the sector has no county row at all -- a third state, distinct from suppressed and from disclosed.",1439,629.0,0.2001,2 (partly size),-0.285
emp_total_private,int64,size control,"Total private employment, the denominator every location quotient is built on. A pure scale measure, held in the size control.",0,,,unscanned,
as_of_date,str,identifier,"`2025-12-31`, the end of the 2025 Q4 reference quarter.",0,,,unscanned,
