county_name,fips_code,dominant_naics2,dominant_industry,dominant_lq,dominant_lq_quartile,unemployment_velocity,gdp_velocity_pct
"Autauga County, Alabama",01001,31-33,Manufacturing,1.86,1,0.06666666666666658,0.0037532818700463837
"Baldwin County, Alabama",01003,72,Accommodation & Food Services,1.81,1,0.09999999999999994,0.04934252500125054
"Barbour County, Alabama",01005,11,"Agriculture, Forestry, Fishing & Hunting",4.12,3,0.0,-0.004151565808536721
"Bibb County, Alabama",01007,23,Construction,3.42,3,0.10000000000000009,0.010741038578014431
"Blount County, Alabama",01009,31-33,Manufacturing,1.84,1,0.09999999999999994,0.04021506968658413
"Bullock County, Alabama",01011,22,Utilities,5.47,4,0.09999999999999994,0.03356508766235615
"Butler County, Alabama",01013,11,"Agriculture, Forestry, Fishing & Hunting",3.53,3,0.0,0.02948236098060989
"Calhoun County, Alabama",01015,31-33,Manufacturing,1.85,1,0.16666666666666666,0.016805130767399173
"Chambers County, Alabama",01017,31-33,Manufacturing,3.63,3,0.10000000000000009,0.038878603098800486
"Cherokee County, Alabama",01019,11,"Agriculture, Forestry, Fishing & Hunting",4.89,4,0.09999999999999994,0.01917358226867555
"Chilton County, Alabama",01021,31-33,Manufacturing,2.14,2,0.10000000000000009,0.0426876866639924
"Choctaw County, Alabama",01023,11,"Agriculture, Forestry, Fishing & Hunting",8.14,4,0.20000000000000004,-0.012021919168546691
"Clarke County, Alabama",01025,31-33,Manufacturing,2.39,2,0.2333333333333334,-0.003990684670332658
"Clay County, Alabama",01027,31-33,Manufacturing,6.27,4,0.16666666666666666,-0.008810346077314995
"Cleburne County, Alabama",01029,23,Construction,2.95,3,0.10000000000000009,0.044233009917257746
"Coffee County, Alabama",01031,11,"Agriculture, Forestry, Fishing & Hunting",2.81,2,0.13333333333333344,0.03759523827841505
"Colbert County, Alabama",01033,31-33,Manufacturing,3.0,3,0.13333333333333344,0.0291508109187056
"Conecuh County, Alabama",01035,48-49,Transportation & Warehousing,2.59,2,0.16666666666666652,0.012149803122366054
"Coosa County, Alabama",01037,44-45,Retail Trade,0.79,1,0.20000000000000004,0.01616064494656263
"Covington County, Alabama",01039,22,Utilities,12.73,4,0.1333333333333333,0.003755545840025749
"Crenshaw County, Alabama",01041,31-33,Manufacturing,2.67,2,0.03333333333333336,0.05253301182914158
"Cullman County, Alabama",01043,31-33,Manufacturing,2.49,2,0.1333333333333333,0.024661612069004836
"Dale County, Alabama",01045,31-33,Manufacturing,2.71,2,0.13333333333333344,0.02127652970611067
"Dallas County, Alabama",01047,31-33,Manufacturing,2.74,2,0.033333333333333215,0.013703825920067969
"DeKalb County, Alabama",01049,31-33,Manufacturing,3.52,3,0.09999999999999994,0.034017083620821634
"Elmore County, Alabama",01051,44-45,Retail Trade,1.86,1,0.06666666666666658,0.05012377391691652
"Escambia County, Alabama",01053,21,"Mining, Quarrying, Oil & Gas",3.0,3,0.03333333333333336,0.02354986285693759
"Etowah County, Alabama",01055,31-33,Manufacturing,1.59,1,0.09999999999999994,0.021096005250447365
"Fayette County, Alabama",01057,31-33,Manufacturing,2.03,2,0.06666666666666658,0.01912913296168471
"Franklin County, Alabama",01059,31-33,Manufacturing,5.4,4,0.13333333333333344,0.018551920760161933
"Geneva County, Alabama",01061,31-33,Manufacturing,2.02,2,0.13333333333333344,0.01694189791570714
"Greene County, Alabama",01063,31-33,Manufacturing,3.33,3,0.5333333333333332,0.02739865647440352
"Hale County, Alabama",01065,22,Utilities,2.21,2,0.0,0.03319936069195694
"Henry County, Alabama",01067,11,"Agriculture, Forestry, Fishing & Hunting",10.42,4,0.1333333333333333,0.032668612662383925
"Houston County, Alabama",01069,44-45,Retail Trade,1.57,1,0.09999999999999994,0.012529665310499063
"Jackson County, Alabama",01071,31-33,Manufacturing,3.49,3,0.19999999999999987,0.020865132802724843
"Jefferson County, Alabama",01073,22,Utilities,3.59,3,0.1333333333333333,0.020556360989416416
"Lamar County, Alabama",01075,31-33,Manufacturing,4.14,3,0.13333333333333344,0.0003945215614396003
"Lauderdale County, Alabama",01077,44-45,Retail Trade,1.64,1,0.16666666666666666,0.026488817336975164
"Lawrence County, Alabama",01079,22,Utilities,5.98,4,0.09999999999999994,0.023515323963365274
"Lee County, Alabama",01081,72,Accommodation & Food Services,1.47,1,0.09999999999999994,0.02718773161456324
"Limestone County, Alabama",01083,31-33,Manufacturing,2.89,3,0.16666666666666666,0.04946563141563794
"Lowndes County, Alabama",01085,31-33,Manufacturing,5.12,4,0.10000000000000024,0.036674611281352854
"Macon County, Alabama",01087,53,Real Estate & Rental & Leasing,1.34,1,0.0,0.03660359767467369
"Madison County, Alabama",01089,54,"Professional, Scientific & Technical Services",2.75,2,0.09999999999999994,0.04469425859332809
"Marengo County, Alabama",01091,11,"Agriculture, Forestry, Fishing & Hunting",9.15,4,0.10000000000000009,0.0127442634087323
"Marion County, Alabama",01093,31-33,Manufacturing,4.71,3,0.20000000000000004,0.014363799402441367
"Marshall County, Alabama",01095,31-33,Manufacturing,3.86,3,0.09999999999999994,0.025900894556884213
"Mobile County, Alabama",01097,23,Construction,1.44,1,0.09999999999999994,0.031630818068828816
"Monroe County, Alabama",01099,31-33,Manufacturing,2.78,2,0.4333333333333334,-0.008499070224235064
"Montgomery County, Alabama",01101,31-33,Manufacturing,1.39,1,0.0,0.029703364394576503
"Morgan County, Alabama",01103,31-33,Manufacturing,3.4,3,0.06666666666666658,0.03318545130959818
"Perry County, Alabama",01105,61,Educational Services,5.08,4,0.033333333333333215,0.01856503696127047
"Pickens County, Alabama",01107,31-33,Manufacturing,2.25,2,0.20000000000000004,-0.002601502282501185
"Pike County, Alabama",01109,48-49,Transportation & Warehousing,2.89,3,0.13333333333333344,0.02137486597251903
"Randolph County, Alabama",01111,31-33,Manufacturing,2.53,2,0.2666666666666666,0.013159404305757596
"Russell County, Alabama",01113,31-33,Manufacturing,1.86,1,0.2666666666666666,0.029790941954071302
"St. Clair County, Alabama",01115,31-33,Manufacturing,2.06,2,0.06666666666666658,0.04107328885462611
"Shelby County, Alabama",01117,22,Utilities,3.06,3,0.1333333333333334,0.009312739922139305
