county_a,county_b,economic_distance,distance_km
"Garfield County, Washington","King County, Washington",21.799371926417315,346.76192909416926
"King County, Washington","Yakima County, Washington",21.777629413395896,141.79538849737727
"King County, Washington","Whitman County, Washington",21.6163171324749,331.16662209068227
"Lewis County, Idaho","King County, Washington",21.602477045763955,434.2189436880714
"Humboldt County, Nevada","King County, Washington",21.60096436669205,737.3534021409849
"King County, Washington","Pacific County, Washington",21.600787529078662,180.5428786943383
"Camas County, Idaho","King County, Washington",21.595144034358896,706.3327276995847
"Ferry County, Washington","King County, Washington",21.57505102478235,268.82571769632244
"Asotin County, Washington","King County, Washington",21.572231136522575,379.31946232162045
"Mineral County, Montana","King County, Washington",21.55989318927226,510.2180766597025
"Teton County, Montana","King County, Washington",21.55398847993918,715.9435916553933
"Josephine County, Oregon","King County, Washington",21.553809761830117,583.6978818702484
"Custer County, Idaho","King County, Washington",21.553598433690414,686.8511154578761
"Tillamook County, Oregon","King County, Washington",21.553308558979676,270.02609090235217
"King County, Washington","Pend Oreille County, Washington",21.547555980847275,361.6908311098307
"Valley County, Idaho","King County, Washington",21.54631299863048,560.9078902705263
"Harney County, Oregon","King County, Washington",21.54318957655646,540.124024411169
"Columbia County, Washington","King County, Washington",21.541905899213273,326.40336641232904
"Boise County, Idaho","King County, Washington",21.540542643107276,613.8723056863882
"King County, Washington","Lincoln County, Washington",21.53870083054769,256.6440292675364
