county_name,fips_code,total_tons,mean_partner_hhi
"Harris County, Texas",48201,731121.1480472,0.18076548431089307
"Los Angeles County, California",06037,540493.2190056,0.210467851094695
"Cook County, Illinois",17031,348042.4202289,0.10943221931137134
"Dallas County, Texas",48113,294117.937437,0.11536489953713444
"Bexar County, Texas",48029,276851.9428318,0.31238370247434977
"Jefferson County, Texas",48245,219125.39426630002,0.12952164421350632
"Maricopa County, Arizona",04013,212019.84671349998,0.38879266752257036
"Travis County, Texas",48453,203278.66639739997,0.30269872320673485
"East Baton Rouge Parish, Louisiana",22033,202149.7074677,0.053844509936407096
"Tarrant County, Texas",48439,185177.8481351,0.12008212757663238
"King County, Washington",53033,175992.6233724,0.16163558477748652
"Miami-Dade County, Florida",12086,165910.9522826,0.1619176975759087
"Calcasieu Parish, Louisiana",22019,163313.06648530002,0.18398280545939688
"Galveston County, Texas",48167,159064.0904515,0.14624771284635227
"Lucas County, Ohio",39095,156778.4263657,0.022079013662886636
"Hennepin County, Minnesota",27053,156749.4527522,0.06285900280071184
"Orange County, California",06059,148382.3505367,0.19924024406168278
"Wayne County, Michigan",26163,145169.2426402,0.08745209463095088
"Nueces County, Texas",48355,143456.7804669,0.18078329008238356
"Caddo Parish, Louisiana",22017,128388.4659262,0.021650964609898102
"Lake County, Indiana",18089,126819.71932900001,0.05391665214225021
"Franklin County, Ohio",39049,119500.71336149999,0.09136315698083905
"Allegheny County, Pennsylvania",42003,118791.89858099999,0.07920265661471157
"Mobile County, Alabama",01097,117044.5260681,0.05098232629380374
"Davidson County, Tennessee",47037,116531.5328254,0.05915016365960242
