county_name,fips_code,total_tons,mean_partner_hhi,dependence_label,distress_count,metro_2023
"Autauga County, Alabama",01001,6122.019016599999,0.019195002361125788,None (nonspecialized),0,True
"Baldwin County, Alabama",01003,19894.414710599995,0.12547224407185623,Recreation,1,True
"Barbour County, Alabama",01005,2937.918544,0.018331609233520722,Manufacturing,5,False
"Bibb County, Alabama",01007,4047.5179859,0.04959643941428343,None (nonspecialized),2,True
"Blount County, Alabama",01009,5011.4368537,0.06983313762511367,None (nonspecialized),0,True
"Bullock County, Alabama",01011,1055.3053897,0.019158641042763408,Manufacturing,4,False
"Butler County, Alabama",01013,2847.8189476999996,0.019444679169364293,Manufacturing,2,False
"Calhoun County, Alabama",01015,14053.796222599998,0.01638443322417214,None (nonspecialized),0,True
"Chambers County, Alabama",01017,5021.3422517,0.018124893223083704,Manufacturing,0,False
"Cherokee County, Alabama",01019,1920.9812482000002,0.019492873246842443,None (nonspecialized),0,False
"Chilton County, Alabama",01021,5470.2386367,0.06626538322072417,Manufacturing,1,True
"Choctaw County, Alabama",01023,3191.8608833999997,0.01625004869525615,Manufacturing,2,False
"Clarke County, Alabama",01025,6506.8667746,0.01722643693468012,Manufacturing,4,False
"Clay County, Alabama",01027,1721.3854253,0.01869547645452787,Manufacturing,0,False
"Cleburne County, Alabama",01029,1507.2548063,0.021307153448916837,None (nonspecialized),0,False
"Coffee County, Alabama",01031,4482.3587809,0.018192817328398413,None (nonspecialized),0,False
"Colbert County, Alabama",01033,10401.498331899998,0.01750232996793128,Manufacturing,0,True
"Conecuh County, Alabama",01035,2729.3280821,0.017739826633460035,None (nonspecialized),2,False
"Coosa County, Alabama",01037,1262.9019638,0.06623881788896127,Manufacturing,2,False
"Covington County, Alabama",01039,5991.2570135999995,0.016287118700278668,None (nonspecialized),0,False
"Crenshaw County, Alabama",01041,1926.1846243999998,0.01901475457356975,Manufacturing,1,False
"Cullman County, Alabama",01043,10036.741934000001,0.07095354136679789,Manufacturing,0,False
"Dale County, Alabama",01045,3166.113306,0.019319306225386596,Manufacturing,1,False
"Dallas County, Alabama",01047,5228.1531071,0.017552931230367975,Manufacturing,3,False
"DeKalb County, Alabama",01049,7642.750426499999,0.016060874515755035,Manufacturing,0,False
"Elmore County, Alabama",01051,7225.452117500001,0.016921084544738774,None (nonspecialized),0,True
"Escambia County, Alabama",01053,7551.108549199999,0.017877805308409954,None (nonspecialized),4,False
"Etowah County, Alabama",01055,9263.9165012,0.01682971689635522,None (nonspecialized),0,True
"Fayette County, Alabama",01057,2032.6502307,0.020469405836741644,Manufacturing,1,False
"Franklin County, Alabama",01059,5545.081203400001,0.01750883559869655,Manufacturing,0,False
"Geneva County, Alabama",01061,1749.2285397999997,0.019648583797002107,None (nonspecialized),0,True
"Greene County, Alabama",01063,1233.9986427000001,0.021472896037644865,Manufacturing,3,True
"Hale County, Alabama",01065,3910.2552938999997,0.020447183147147437,None (nonspecialized),3,True
"Henry County, Alabama",01067,2186.4478078,0.018277678573383336,None (nonspecialized),0,True
"Houston County, Alabama",01069,14768.1826833,0.014467205365763394,None (nonspecialized),0,True
"Jackson County, Alabama",01071,6762.257777000001,0.016997066261536305,Manufacturing,1,False
"Jefferson County, Alabama",01073,103148.83384839998,0.051100489935557464,None (nonspecialized),1,True
"Lamar County, Alabama",01075,3866.2123131999997,0.021117550578693883,Manufacturing,1,False
"Lauderdale County, Alabama",01077,10557.023571,0.016847915219939634,None (nonspecialized),0,True
"Lawrence County, Alabama",01079,3860.2808434,0.019836167815999037,None (nonspecialized),1,True
"Lee County, Alabama",01081,15213.2134466,0.016234581446342607,None (nonspecialized),2,True
"Limestone County, Alabama",01083,9746.3478672,0.017467786972824424,None (nonspecialized),1,True
"Lowndes County, Alabama",01085,1259.0078331,0.021991740586406808,Manufacturing,4,True
"Macon County, Alabama",01087,1402.3067136,0.018855150159707214,Government,2,True
"Madison County, Alabama",01089,36743.63353769999,0.018145492736978054,None (nonspecialized),0,True
"Marengo County, Alabama",01091,4807.3747979,0.01845442199152797,Manufacturing,2,False
"Marion County, Alabama",01093,3980.396243,0.019797272325304968,Manufacturing,1,False
"Marshall County, Alabama",01095,13397.641330400002,0.015312742320938134,Manufacturing,0,False
"Mobile County, Alabama",01097,117044.5260681,0.05098232629380374,None (nonspecialized),1,True
"Monroe County, Alabama",01099,4144.6995935,0.01769637911357824,Manufacturing,4,False
"Montgomery County, Alabama",01101,25042.8635727,0.01682108854727377,Government,1,True
"Morgan County, Alabama",01103,16944.0647907,0.016500004290547245,Manufacturing,0,True
"Perry County, Alabama",01105,1124.7692538,0.0200853555390585,None (nonspecialized),4,False
"Pickens County, Alabama",01107,2648.1803154,0.018388305562625877,None (nonspecialized),3,True
"Pike County, Alabama",01109,3908.0976237,0.01939424240143086,Manufacturing,2,False
"Randolph County, Alabama",01111,2109.9195793,0.02045474876162952,None (nonspecialized),0,False
"Russell County, Alabama",01113,5411.7930141,0.01756016654394173,Manufacturing,1,True
"St. Clair County, Alabama",01115,9302.5111756,0.06574015840082359,None (nonspecialized),0,True
"Shelby County, Alabama",01117,26173.173675399998,0.07042537501007567,None (nonspecialized),0,True
"Sumter County, Alabama",01119,1664.6434265,0.020590876024704476,Government,2,False
"Talladega County, Alabama",01121,11633.431669500002,0.06161820010275898,Manufacturing,0,False
"Tallapoosa County, Alabama",01123,5487.0541127,0.0619906772191202,None (nonspecialized),0,False
"Tuscaloosa County, Alabama",01125,105731.6395563,0.02191415039883262,Manufacturing,2,True
"Walker County, Alabama",01127,10167.4239279,0.06039235574227812,None (nonspecialized),1,True
"Washington County, Alabama",01129,5217.5236702,0.01883558662865248,Manufacturing,1,False
"Wilcox County, Alabama",01131,1482.2640221000001,0.021892648179600113,Manufacturing,5,False
"Winston County, Alabama",01133,6692.250097499999,0.01782553717966239,Manufacturing,2,False
"Aleutians East Borough, Alaska",02013,1222.7003632,0.09921710754966231,Manufacturing,1,False
"Aleutians West Census Area, Alaska",02016,1729.0443684000002,0.08871981609322505,Manufacturing,1,False
"Anchorage Municipality, Alaska",02020,24098.4016673,0.12807204452770873,None (nonspecialized),1,True
"Bethel Census Area, Alaska",02050,1241.8090916,0.11047650262909581,None (nonspecialized),3,False
"Bristol Bay Borough, Alaska",02060,891.9469475999999,0.1030001038314372,Manufacturing,1,False
"Chugach Census Area, Alaska",02063,1388.7742279,0.09869210282302532,None (nonspecialized),0,False
"Copper River Census Area, Alaska",02066,410.7014817,0.11092946467732823,Recreation,0,False
"Denali Borough, Alaska",02068,478.5220333,0.12630963253083644,Recreation,2,False
"Dillingham Census Area, Alaska",02070,1035.6657662,0.10437525904390746,None (nonspecialized),1,False
"Fairbanks North Star Borough, Alaska",02090,4493.5569436999995,0.14785568641143165,Government,1,True
"Haines Borough, Alaska",02100,943.1148121,0.10558122337240619,Recreation,1,False
"Hoonah-Angoon Census Area, Alaska",02105,720.8120418,0.11153025113716504,Recreation,0,False
"Juneau City and Borough, Alaska",02110,3379.1008949,0.09774353415290316,Government,0,False
"Kenai Peninsula Borough, Alaska",02122,4646.4704092,0.11959717271330378,Recreation,1,False
"Ketchikan Gateway Borough, Alaska",02130,1738.5793909,0.10335017490351434,None (nonspecialized),1,False
"Kodiak Island Borough, Alaska",02150,1809.6357874999999,0.0954923740226386,None (nonspecialized),2,False
"Kusilvak Census Area, Alaska",02158,872.7108713,0.10637948672152775,None (nonspecialized),4,False
"Lake and Peninsula Borough, Alaska",02164,903.3647061,0.10413184451889325,Recreation,2,False
"Matanuska-Susitna Borough, Alaska",02170,4549.9002962,0.14879177848839067,None (nonspecialized),1,True
"Nome Census Area, Alaska",02180,1342.6266728,0.10415793097836651,None (nonspecialized),1,False
"North Slope Borough, Alaska",02185,4522.2880277,0.14627871384319496,Mining,1,False
"Northwest Arctic Borough, Alaska",02188,944.3918799,0.108891866624608,Mining,2,False
"Petersburg Borough, Alaska",02195,987.7967820000001,0.10647277534229493,None (nonspecialized),0,False
"Prince of Wales-Hyder Census Area, Alaska",02198,1394.4952445,0.10049031651994692,None (nonspecialized),0,False
"Sitka City and Borough, Alaska",02220,1308.5670590999998,0.10813986209044567,None (nonspecialized),1,False
"Skagway Municipality, Alaska",02230,709.0695297000001,0.11089259195825593,Recreation,0,False
"Southeast Fairbanks Census Area, Alaska",02240,647.4777415000001,0.12762992802248366,Mining,1,False
"Wrangell City and Borough, Alaska",02275,721.4175538999999,0.1120362362997437,None (nonspecialized),0,False
"Yakutat City and Borough, Alaska",02282,665.5057491,0.111351839986402,Recreation,0,False
"Yukon-Koyukuk Census Area, Alaska",02290,1308.1650054,0.09616770829265348,None (nonspecialized),3,False
"Apache County, Arizona",04001,5228.9679925,0.04971592707712556,Government,3,False
"Cochise County, Arizona",04003,7829.3068114,0.05629522534811306,Government,0,True
"Coconino County, Arizona",04005,11749.5749531,0.06080282242665516,Recreation,1,True
"Gila County, Arizona",04007,5924.994817500001,0.079891587591684,None (nonspecialized),2,False
"Graham County, Arizona",04009,1659.4442278000001,0.0745921271070752,None (nonspecialized),1,False
"Greenlee County, Arizona",04011,1201.4755558999998,0.08607724183445488,Mining,0,False
"La Paz County, Arizona",04012,3493.6455386999996,0.06143594377540233,Recreation,1,False
"Maricopa County, Arizona",04013,212019.84671349998,0.38879266752257036,None (nonspecialized),1,True
"Mohave County, Arizona",04015,13357.2768745,0.06371026720275237,Recreation,1,True
"Navajo County, Arizona",04017,8365.1988943,0.06057264158281671,Recreation,3,False
"Pima County, Arizona",04019,37253.5799321,0.2512183888526127,None (nonspecialized),1,True
"Pinal County, Arizona",04021,25255.911559,0.2939439684720036,None (nonspecialized),1,True
"Santa Cruz County, Arizona",04023,4286.6322504,0.18751389018379214,None (nonspecialized),2,False
"Yavapai County, Arizona",04025,12981.080490299999,0.0651106279469468,Recreation,2,True
"Yuma County, Arizona",04027,17426.727409500003,0.05491608545544471,None (nonspecialized),1,True
"Arkansas County, Arkansas",05001,4629.7794511,0.02029232934891894,Manufacturing,1,False
"Ashley County, Arkansas",05003,4792.346120299999,0.021791258685289916,Manufacturing,2,False
"Baxter County, Arkansas",05005,5109.340110900001,0.024668643789962467,None (nonspecialized),1,False
"Benton County, Arkansas",05007,33764.36613350001,0.025793660968709477,None (nonspecialized),1,True
"Boone County, Arkansas",05009,5041.4489742999995,0.02514472463614359,None (nonspecialized),0,False
"Bradley County, Arkansas",05011,2962.9855721,0.023019172194006093,Manufacturing,2,False
"Calhoun County, Arkansas",05013,871.254414,0.03302299583053807,Manufacturing,3,False
"Carroll County, Arkansas",05015,3926.6077402999995,0.025391647172815807,Manufacturing,0,False
"Chicot County, Arkansas",05017,2311.1764308,0.019989892161343906,Farming,4,False
"Clark County, Arkansas",05019,5254.6052882,0.022329496320931053,None (nonspecialized),1,False
"Clay County, Arkansas",05021,2084.2670342,0.023595660406250607,Farming,1,False
"Cleburne County, Arkansas",05023,3252.209269,0.024961045817812944,None (nonspecialized),1,False
"Cleveland County, Arkansas",05025,1310.5540225999998,0.02670149109040953,Farming,0,False
"Columbia County, Arkansas",05027,4297.225569599999,0.02149655486452965,Manufacturing,2,False
"Conway County, Arkansas",05029,3204.6761198,0.02213915198030416,None (nonspecialized),0,False
"Craighead County, Arkansas",05031,14004.086843500001,0.02538526878318973,None (nonspecialized),0,True
"Crawford County, Arkansas",05033,7420.930327800001,0.022881381505502507,Manufacturing,0,True
"Crittenden County, Arkansas",05035,6542.8100421,0.021765176901525227,None (nonspecialized),1,True
"Cross County, Arkansas",05037,2381.2829579,0.024609923044132273,None (nonspecialized),2,False
"Dallas County, Arkansas",05039,2001.0785258,0.02532562348434401,Manufacturing,1,False
"Desha County, Arkansas",05041,2648.9986597999996,0.019705157584304262,Manufacturing,3,False
"Drew County, Arkansas",05043,3233.4678921,0.02409793295028392,None (nonspecialized),1,False
"Faulkner County, Arkansas",05045,14760.6210302,0.02571786960493794,None (nonspecialized),1,True
"Franklin County, Arkansas",05047,2343.6351061,0.024372611210113092,Manufacturing,0,False
"Fulton County, Arkansas",05049,1341.5394718000002,0.028445112061868928,None (nonspecialized),1,False
"Garland County, Arkansas",05051,12438.048795100001,0.02908600715042129,None (nonspecialized),1,True
"Grant County, Arkansas",05053,2600.5081082,0.024790128251605918,Manufacturing,0,True
"Greene County, Arkansas",05055,6529.432424499999,0.024210645251021817,Manufacturing,0,False
"Hempstead County, Arkansas",05057,4281.2866896000005,0.028630798337090743,Manufacturing,2,False
"Hot Spring County, Arkansas",05059,4611.8564295,0.023475668833182202,Manufacturing,1,False
"Howard County, Arkansas",05061,4404.814861100001,0.02278098420097555,Manufacturing,1,False
"Independence County, Arkansas",05063,8842.811947999999,0.04255718288063849,Manufacturing,0,False
"Izard County, Arkansas",05065,2141.7290160000002,0.02638814174998837,None (nonspecialized),1,False
"Jackson County, Arkansas",05067,2857.8219145999997,0.02352662839535667,Manufacturing,2,False
"Jefferson County, Arkansas",05069,9186.2532529,0.024901004365408964,Government,1,False
"Johnson County, Arkansas",05071,3961.5654147,0.023728845016877408,Manufacturing,2,False
