county_name,fips_code,metro_2023,dependence_label,distress_count
"Autauga County, Alabama",01001,True,None (nonspecialized),0
"Baldwin County, Alabama",01003,True,Recreation,1
"Barbour County, Alabama",01005,False,Manufacturing,5
"Bibb County, Alabama",01007,True,None (nonspecialized),2
"Blount County, Alabama",01009,True,None (nonspecialized),0
"Bullock County, Alabama",01011,False,Manufacturing,4
"Butler County, Alabama",01013,False,Manufacturing,2
"Calhoun County, Alabama",01015,True,None (nonspecialized),0
"Chambers County, Alabama",01017,False,Manufacturing,0
"Cherokee County, Alabama",01019,False,None (nonspecialized),0
"Chilton County, Alabama",01021,True,Manufacturing,1
"Choctaw County, Alabama",01023,False,Manufacturing,2
"Clarke County, Alabama",01025,False,Manufacturing,4
"Clay County, Alabama",01027,False,Manufacturing,0
"Cleburne County, Alabama",01029,False,None (nonspecialized),0
"Coffee County, Alabama",01031,False,None (nonspecialized),0
"Colbert County, Alabama",01033,True,Manufacturing,0
"Conecuh County, Alabama",01035,False,None (nonspecialized),2
"Coosa County, Alabama",01037,False,Manufacturing,2
"Covington County, Alabama",01039,False,None (nonspecialized),0
"Crenshaw County, Alabama",01041,False,Manufacturing,1
"Cullman County, Alabama",01043,False,Manufacturing,0
"Dale County, Alabama",01045,False,Manufacturing,1
"Dallas County, Alabama",01047,False,Manufacturing,3
"DeKalb County, Alabama",01049,False,Manufacturing,0
"Elmore County, Alabama",01051,True,None (nonspecialized),0
"Escambia County, Alabama",01053,False,None (nonspecialized),4
"Etowah County, Alabama",01055,True,None (nonspecialized),0
"Fayette County, Alabama",01057,False,Manufacturing,1
"Franklin County, Alabama",01059,False,Manufacturing,0
"Geneva County, Alabama",01061,True,None (nonspecialized),0
"Greene County, Alabama",01063,True,Manufacturing,3
"Hale County, Alabama",01065,True,None (nonspecialized),3
"Henry County, Alabama",01067,True,None (nonspecialized),0
"Houston County, Alabama",01069,True,None (nonspecialized),0
"Jackson County, Alabama",01071,False,Manufacturing,1
"Jefferson County, Alabama",01073,True,None (nonspecialized),1
"Lamar County, Alabama",01075,False,Manufacturing,1
"Lauderdale County, Alabama",01077,True,None (nonspecialized),0
"Lawrence County, Alabama",01079,True,None (nonspecialized),1
"Lee County, Alabama",01081,True,None (nonspecialized),2
"Limestone County, Alabama",01083,True,None (nonspecialized),1
"Lowndes County, Alabama",01085,True,Manufacturing,4
"Macon County, Alabama",01087,True,Government,2
"Madison County, Alabama",01089,True,None (nonspecialized),0
"Marengo County, Alabama",01091,False,Manufacturing,2
"Marion County, Alabama",01093,False,Manufacturing,1
"Marshall County, Alabama",01095,False,Manufacturing,0
"Mobile County, Alabama",01097,True,None (nonspecialized),1
"Monroe County, Alabama",01099,False,Manufacturing,4
"Montgomery County, Alabama",01101,True,Government,1
"Morgan County, Alabama",01103,True,Manufacturing,0
"Perry County, Alabama",01105,False,None (nonspecialized),4
"Pickens County, Alabama",01107,True,None (nonspecialized),3
"Pike County, Alabama",01109,False,Manufacturing,2
"Randolph County, Alabama",01111,False,None (nonspecialized),0
"Russell County, Alabama",01113,True,Manufacturing,1
"St. Clair County, Alabama",01115,True,None (nonspecialized),0
"Shelby County, Alabama",01117,True,None (nonspecialized),0
"Sumter County, Alabama",01119,False,Government,2
"Talladega County, Alabama",01121,False,Manufacturing,0
"Tallapoosa County, Alabama",01123,False,None (nonspecialized),0
"Tuscaloosa County, Alabama",01125,True,Manufacturing,2
"Walker County, Alabama",01127,True,None (nonspecialized),1
"Washington County, Alabama",01129,False,Manufacturing,1
"Wilcox County, Alabama",01131,False,Manufacturing,5
"Winston County, Alabama",01133,False,Manufacturing,2
"Aleutians East Borough, Alaska",02013,False,Manufacturing,1
"Aleutians West Census Area, Alaska",02016,False,Manufacturing,1
