cluster,cluster_size,mean_intra_cluster_km,corpus_mean_pairwise_km,rank,county_name,similarity_to_centroid
0,1295,1582.912628749749,1437.4817273791793,0,"Stutsman County, North Dakota",0.8804402944667054
0,1295,1582.912628749749,1437.4817273791793,1,"Olmsted County, Minnesota",0.8800061171349451
0,1295,1582.912628749749,1437.4817273791793,2,"Multnomah County, Oregon",0.8724134271796692
0,1295,1582.912628749749,1437.4817273791793,3,"Hall County, Nebraska",0.8711346143677081
0,1295,1582.912628749749,1437.4817273791793,4,"Buffalo County, Nebraska",0.8673722053370941
1,1535,1291.3076040509566,1437.4817273791793,0,"Monroe County, Michigan",0.8629793769078122
1,1535,1291.3076040509566,1437.4817273791793,1,"Lamoille County, Vermont",0.8514575025404858
1,1535,1291.3076040509566,1437.4817273791793,2,"Buchanan County, Iowa",0.8502012182647676
1,1535,1291.3076040509566,1437.4817273791793,3,"Campbell County, Kentucky",0.848121560401837
1,1535,1291.3076040509566,1437.4817273791793,4,"Cherokee County, Iowa",0.8465165993296975
