county_a,county_b,similarity,distance_km
"Allamakee County, Iowa","Clatsop County, Oregon",0.9607219174350015,2557.277060698955
"Hendry County, Florida","Finney County, Kansas",0.872705249440825,2234.5364541431873
"Montgomery County, Ohio","Sweetwater County, Wyoming",0.8681033215678244,2076.0403762697592
"Franklin County, Massachusetts","Multnomah County, Oregon",0.8521685000613723,3930.2818048726162
"Wibaux County, Montana","Graham County, North Carolina",0.8475595513379228,2133.2524681986356
"Hamilton County, Ohio","Sweetwater County, Wyoming",0.8449451993621493,2070.6192216999393
"Wayne County, Michigan","Yellowstone County, Montana",0.8448821942632526,2029.121145615837
"Yellowstone County, Montana","Harris County, Texas",0.8443788121147158,2109.2867207568597
"Kent County, Maryland","Jones County, South Dakota",0.8440205050525558,2099.803233530081
"Yellowstone County, Montana","Providence County, Rhode Island",0.8427534737246851,2948.0655974610363
"Tillman County, Oklahoma","Curry County, Oregon",0.8427137820487764,2367.8150267453866
"Franklin County, Massachusetts","Yellowstone County, Montana",0.8422367254625225,2841.9708526837408
"Graham County, North Carolina","Wayne County, Utah",0.841995062329206,2430.8404040081155
"Montgomery County, Alabama","Stark County, North Dakota",0.8413932578475851,2143.7149441157
"Kent County, Delaware","Multnomah County, Oregon",0.8406789760790835,3866.4654866953056
"Sutter County, California","Ulster County, New York",0.839153608816057,3973.3013474140726
"Petroleum County, Montana","Bristol County, Rhode Island",0.8376468938145838,2966.061466845737
"Stark County, North Dakota","Providence County, Rhode Island",0.837343383721023,2514.7524820073804
"Franklin County, Massachusetts","Sheridan County, North Dakota",0.8355400844418007,2234.507938251838
"Montgomery County, Alabama","Burleigh County, North Dakota",0.8349426513397955,2040.8619029375693
